,thetar,thetas,alpha,n,ksat,l,nse
0,0.09287893629423763,0.4734077124750889,0.028961117478442613,1.5925075510995064,14.084405348920214,0.5,-0.005205304071776995
1,0.09003812359237363,0.3637266085328411,0.018807818530573277,1.2720773882468452,65.44280960911314,0.5,-4.9297126616583355
2,0.07608961633802752,0.37565593367257927,0.009926295384266768,1.6447868317591317,338.25405447113,0.5,-68.0076775172604
3,0.06752613371967334,0.44203888604203034,0.018767642598952403,1.9718809398430106,63.86754172745922,0.5,-0.12704725100357717
4,0.09432587256855737,0.40357057132187113,0.01121530685930263,1.3105524344722403,479.12544452916944,0.5,-97.27282410715404
5,0.06717657800910817,0.3802745851767729,0.007594551240535069,1.503208103632757,453.6184554419036,0.5,-144.16347895898036
6,0.07527267251428739,0.48178152805597024,0.01817523137536914,1.8396734401472261,59.100647807148505,0.5,-0.887625639959156
7,0.06109322297235636,0.3646706202196045,0.028668612670508103,1.465327741514075,406.93140786428086,0.5,-7.760137044761809
8,0.0583771691035498,0.39780903750726554,0.029501143541391647,1.4825751477595897,316.14714937584534,0.5,-4.631935391633348
9,0.09118787247638535,0.3850305242779133,0.0210305625797841,1.7070045647097172,268.5946796812459,0.5,-6.39856515515617
10,0.06525848976050297,0.4711844944584551,0.018385812861375472,1.6055582540944582,438.9297146818592,0.5,-20.518744747559104
11,0.07588483475670778,0.4850559016677762,0.01119422967217067,1.2052456297573524,37.553210874660415,0.5,-10.955882828547798
12,0.09917707356992109,0.49783781792954496,0.017118248936650416,1.777575914327046,177.55967355550553,0.5,-7.042003623328162
13,0.06733990824153735,0.426510976172837,0.01971804249178489,1.9461138506626856,425.47085575535226,0.5,-5.5539866468726675
14,0.08164330201635221,0.37371423756397365,0.01206158670375582,1.6855300402052034,81.17410852758809,0.5,-14.184310197123935
15,0.05418720939976366,0.3785718298487783,0.01250881969705335,1.990927251291021,465.58541872482516,0.5,-25.07224575211475
16,0.052850466033022736,0.4863041835039138,0.018869816317973773,1.1704440854765918,71.1820195660551,0.5,-3.9873385922632574
17,0.0998047786478875,0.48798903199232974,0.03469844877259619,1.3693694903467146,372.67861623976756,0.5,-4.789096790931951
18,0.09538952238146917,0.4058464240639532,0.00719295202976297,1.945765137223361,215.45733639636757,0.5,-64.96052058675137
19,0.09074872886329165,0.4594970502577039,0.02043439811484276,1.5938918221877534,486.8482018208118,0.5,-17.311451314479765
20,0.08129610980745094,0.3985125335577576,0.036934736624966845,1.5728124319172392,486.41159335833703,0.5,-1.7985420549320055
21,0.0835408584572625,0.4134113805219062,0.021827700435845213,1.649968359791378,162.4459503932388,0.5,-3.5359342017370237
22,0.06552386040370634,0.43226488832655163,0.024922272842078576,1.6966284037041515,15.799927951080981,0.5,0.2955223811183877
23,0.08433502306692664,0.47661091697322444,0.017694509393620876,1.9689011772948295,359.66126622569396,0.5,-6.590527788042588
24,0.05401979882989132,0.4984756089616824,0.014214076724198423,1.1409681964710063,354.2457953881085,0.5,-40.1876907095542
25,0.07693736122080619,0.3826405555560538,0.0340025109009966,1.3259429119148318,269.4169140304672,0.5,-3.60903833156471
26,0.08870502712982908,0.38813641338156624,0.03392781060819663,1.1743612531791128,490.4193016721717,0.5,-9.736467548606713
27,0.07290245145033526,0.4048923764116386,0.02098812767466198,1.2195776199039523,152.6801882960954,0.5,-9.737948959187056
28,0.09307942502915001,0.46141809779102083,0.026348507889985155,1.608651379701743,376.864892995968,0.5,-5.346849305763111
29,0.08776159535498826,0.3590379624066564,0.030092823827314368,1.6365401367310959,238.27990717531884,0.5,-1.103672233482993
30,0.053316092012928556,0.4389345038320861,0.007544001025936541,1.8390783738340541,231.58432522685973,0.5,-68.07737653902853
31,0.09746866524026145,0.39237668142543203,0.03914272685180398,1.5765016786401034,441.8485780245892,0.5,-0.9238649930228957
32,0.09826816817184632,0.41992773371772196,0.028807057394249283,1.2443485640777614,309.66357543330474,0.5,-9.111558354406478
33,0.09642295953083035,0.4985777054872469,0.02299901602875526,1.3714799815054501,30.764792785131263,0.5,-0.5466941421825033
34,0.06261270039613259,0.37258110751507945,0.011762883996981794,1.8522306745246468,119.24334642823783,0.5,-14.747536971272206
35,0.07563612037036108,0.39168529375542427,0.03679569193237844,1.6712151891420821,122.34273190518192,0.5,0.6770563777053067
36,0.06382131296298067,0.3612145919075046,0.011674411838030745,1.4021462033618832,212.80451825618107,0.5,-51.36945406042652
37,0.0773998818456915,0.37927078870011754,0.023596153864917674,1.5337336689299912,456.1176972902495,0.5,-13.339877650686537
38,0.07847490269417441,0.4302028669394589,0.018674474215418964,1.7371571299300261,284.04325812777773,0.5,-9.133967637998747
39,0.0766190426964092,0.4804573873729868,0.009103108206426659,1.5963393108695911,484.75000559740363,0.5,-97.37407999530957
40,0.08876242004937862,0.3658931686399029,0.024420173106096274,1.7946819982058861,150.56824739726412,0.5,-0.5927416841730173
41,0.08068365898148262,0.47108482471322216,0.009749135360575412,1.586173877114049,87.56197121295462,0.5,-31.895888892978064
42,0.0958367211157023,0.40896918868935844,0.014682139826177006,1.1462734251126678,452.81052511350595,0.5,-54.04402511503492
43,0.09346440646340484,0.4244676223419929,0.009372941915425296,1.4604668901892495,67.10293638944398,0.5,-33.00445365162967
