"Date","VWC_1","VWC_2","VWC_3","VWC_4","VWC_5","VWC_6","SWP"
2025-01-28,NA,NA,NA,NA,NA,NA,NA
2025-01-29,NA,NA,NA,NA,NA,NA,NA
2025-01-30,NA,NA,NA,NA,NA,NA,NA
2025-01-31,NA,NA,NA,NA,NA,NA,NA
2025-02-01,NA,NA,NA,NA,NA,NA,NA
2025-02-02,NA,NA,NA,NA,NA,NA,NA
2025-02-03,NA,NA,NA,NA,NA,NA,NA
2025-02-04,NA,NA,NA,NA,NA,NA,NA
2025-02-05,NA,NA,NA,NA,NA,NA,NA
2025-02-06,NA,NA,NA,NA,NA,NA,NA
2025-02-07,NA,NA,NA,NA,NA,NA,NA
2025-02-08,NA,NA,NA,NA,NA,NA,NA
2025-02-09,NA,NA,NA,NA,NA,NA,NA
2025-02-10,NA,NA,NA,NA,NA,NA,NA
2025-02-11,NA,NA,NA,NA,NA,NA,NA
2025-02-12,NA,NA,NA,NA,NA,NA,NA
2025-02-13,NA,NA,NA,NA,NA,NA,NA
2025-02-14,NA,NA,NA,NA,NA,NA,NA
2025-02-15,NA,NA,NA,NA,NA,NA,NA
2025-02-16,NA,NA,NA,NA,NA,NA,NA
2025-02-17,NA,NA,NA,NA,NA,NA,NA
2025-02-18,NA,NA,NA,NA,NA,NA,NA
2025-02-19,NA,NA,NA,NA,NA,NA,NA
2025-02-20,NA,NA,NA,NA,NA,NA,NA
2025-02-21,NA,NA,NA,NA,NA,NA,NA
2025-02-22,NA,NA,NA,NA,NA,NA,NA
2025-02-23,NA,NA,NA,NA,NA,NA,NA
2025-02-24,NA,NA,NA,NA,NA,NA,NA
2025-02-25,NA,NA,NA,NA,NA,NA,NA
2025-02-26,NA,NA,NA,NA,NA,NA,NA
2025-02-27,NA,NA,NA,NA,NA,NA,NA
2025-02-28,NA,NA,NA,NA,NA,NA,NA
2025-03-01,NA,NA,NA,NA,NA,NA,NA
2025-03-02,NA,NA,NA,NA,NA,NA,NA
2025-03-03,NA,NA,NA,NA,NA,NA,NA
2025-03-04,NA,NA,NA,NA,NA,NA,NA
2025-03-05,NA,NA,NA,NA,NA,NA,NA
2025-03-06,NA,NA,NA,NA,NA,NA,NA
2025-03-07,NA,NA,NA,NA,NA,NA,NA
2025-03-08,NA,NA,NA,NA,NA,NA,NA
2025-03-09,NA,NA,NA,NA,NA,NA,NA
2025-03-10,NA,NA,NA,NA,NA,NA,NA
2025-03-11,NA,NA,NA,NA,NA,NA,NA
2025-03-12,NA,NA,NA,NA,NA,NA,NA
2025-03-13,NA,NA,NA,NA,NA,NA,NA
2025-03-14,NA,NA,NA,NA,NA,NA,NA
2025-03-15,NA,NA,NA,NA,NA,NA,NA
2025-03-16,NA,NA,NA,NA,NA,NA,NA
2025-03-17,NA,NA,NA,NA,NA,NA,NA
2025-03-18,NA,NA,NA,NA,NA,NA,-2.01516355223989
2025-03-19,NA,NA,NA,NA,NA,NA,-2.8049376684956
2025-03-20,NA,NA,NA,NA,NA,NA,-6.78922412942685
2025-03-21,NA,NA,NA,NA,NA,NA,-15.3315343016635
2025-03-22,NA,NA,NA,NA,NA,NA,-36.974178357442
2025-03-23,NA,0.258979166666667,NA,NA,NA,NA,-62.7392308047975
2025-03-24,0.351538194444444,0.25925,NA,0.286055555555556,0.304496527777778,NA,-88.5432407197708
2025-03-25,0.355239583333333,0.261604166666667,0.277413194444444,0.286003472222222,0.304,NA,-103.276246655303
2025-03-26,NA,NA,NA,NA,NA,NA,NA
2025-03-27,0.360104166666667,0.267243055555556,0.28325,0.287569444444444,0.305013888888889,0.32546875,-108.138846931622
2025-03-28,0.359454861111111,0.267527777777778,0.284013888888889,0.288847222222222,0.30715625,0.326420138888889,-112.66499635124
2025-03-29,0.35878125,0.267,0.284,0.289618055555556,0.309010416666667,0.328,-117.456764868253
2025-03-30,0.359138888888889,0.266871527777778,0.284,0.289975694444444,0.309930555555556,0.328375,-122.181243213926
2025-03-31,0.359427083333333,0.2665625,0.283993055555556,0.289993055555556,0.31,0.329,-126.452398300044
2025-04-01,0.359670138888889,0.266,0.283815972222222,0.289993055555556,0.31,0.329,-129.933779269907
2025-04-02,0.366583333333333,0.266857638888889,0.282958333333333,0.289975694444444,0.31,0.329,-132.660802003167
2025-04-03,0.391260416666667,0.275878472222222,0.283767361111111,0.289909722222222,0.310048611111111,0.329,-132.572262304035
2025-04-04,0.382461805555556,0.274527777777778,0.285104166666667,0.290708333333333,0.310982638888889,0.329315972222222,-127.929240481563
2025-04-05,0.383315972222222,0.275121527777778,0.285944444444444,0.291055555555556,0.311020833333333,0.33,-124.585981442346
2025-04-06,0.379329861111111,0.273982638888889,0.286097222222222,0.291138888888889,0.311298611111111,0.33,-122.414988019634
2025-04-07,0.378197916666667,0.273982638888889,0.286847222222222,0.291114583333333,0.311538194444444,0.33,-122.546026774349
2025-04-08,0.377427083333333,0.274,0.287635416666667,0.291597222222222,0.312,0.33,-123.934329256736
2025-04-09,0.378114583333333,0.274899305555556,0.288621527777778,0.291989583333333,0.312,0.330583333333333,-125.613041952275
2025-04-10,0.377847222222222,0.275430555555556,0.289,0.292215277777778,0.312784722222222,0.331,-127.330712115433
2025-04-11,0.378267361111111,0.275798611111111,0.289572916666667,0.292881944444444,0.313,0.33146875,-128.793387945089
2025-04-12,0.378454861111111,0.276770833333333,0.290673611111111,0.293354166666667,0.313510416666667,0.332,-130.117941844101
2025-04-13,0.376423611111111,0.276135416666667,0.290815972222222,0.294,0.314465277777778,0.332416666666667,-132.129563808376
2025-04-14,0.374100694444444,0.274506944444444,0.289815972222222,0.294010416666667,0.315,0.333,-134.024313369797
2025-04-15,0.37375,0.273920138888889,0.289538194444444,0.294,0.315,0.333,-136.846958978119
2025-04-16,0.376340277777778,0.275486111111111,0.290017361111111,0.294,0.315,0.333013888888889,-139.361486433461
2025-04-17,0.374954861111111,0.275836805555556,0.290666666666667,0.29415625,0.315059027777778,0.333940972222222,-140.763955267709
2025-04-18,0.371638888888889,0.274236111111111,0.289614583333333,0.294197916666667,0.315645833333333,0.334,-142.014135819451
2025-04-19,0.37008904109589,0.272760273972603,0.288506849315068,0.293986301369863,0.315,0.334,-144.815822989403
2025-04-20,0.371041666666667,0.273010416666667,0.289,0.293930555555556,0.315,0.333795138888889,-146.483619831624
2025-04-21,0.371225694444444,0.273739583333333,0.289,0.293993055555556,0.315,0.333493055555556,-148.877733296149
2025-04-22,0.381513888888889,0.274743055555556,0.289083333333333,0.29403125,0.315017361111111,0.334,-150.995602899381
2025-04-23,0.387958333333333,0.279774305555556,0.291059027777778,0.295597222222222,0.315965277777778,0.334006944444444,-150.864564144666
2025-04-24,0.384555555555556,0.280013888888889,0.292861111111111,0.296329861111111,0.316173611111111,0.334892361111111,-148.498783383865
2025-04-25,0.382458333333333,0.280125,0.293458333333333,0.296965277777778,0.316961805555556,0.335,-147.142355193165
2025-04-26,0.381652777777778,0.280798611111111,0.294357638888889,0.297347222222222,0.317086805555556,0.335,-147.482347637831
2025-04-27,0.380340277777778,0.280795138888889,0.295152777777778,0.298385416666667,0.317996527777778,0.335552083333333,-148.534199263517
2025-04-28,0.379489583333333,0.280715277777778,0.296,0.299072916666667,0.318388888888889,0.336020833333333,-150.039374148757
2025-04-29,0.378659722222222,0.281114583333333,0.296152777777778,0.300145833333333,0.319,0.336947916666667,-151.700378904471
2025-04-30,0.37678125,0.280333333333333,0.296527777777778,0.301,0.319701388888889,0.337472222222222,-154.289279707084
2025-05-01,0.3745625,0.279340277777778,0.296416666666667,0.301423611111111,0.32,0.338,-157.02692720424
2025-05-02,0.373104166666667,0.278673611111111,0.296434027777778,0.30196875,0.320097222222222,0.33828125,-160.178940493332
2025-05-03,0.371881944444444,0.27871875,0.297131944444444,0.302625,0.320958333333333,0.339,-163.451367773244
2025-05-04,0.371857638888889,0.279934027777778,0.298670138888889,0.303291666666667,0.321815972222222,0.339,-166.769835696703
2025-05-05,0.368743055555556,0.278302083333333,0.298670138888889,0.304454861111111,0.322697916666667,0.339934027777778,-168.901871651798
2025-05-06,0.365569444444444,0.275881944444444,0.297527777777778,0.3044375,0.323,0.340003472222222,-171.92638777414
2025-05-07,0.364777777777778,0.274545138888889,0.296847222222222,0.3039375,0.323,0.340003472222222,-175.294437929114
2025-05-08,0.364996527777778,0.275197916666667,0.297479166666667,0.303840277777778,0.323,0.34,-178.694362375775
2025-05-09,0.362630434782609,0.27504347826087,0.298,0.304,0.323,0.340076086956522,-181.914435746635
2025-05-10,0.359277777777778,0.274270833333333,0.298527777777778,0.304951388888889,0.323215277777778,0.341,-187.017094094165
2025-05-11,0.358559027777778,0.274631944444444,0.299444444444444,0.305059027777778,0.324,0.341024305555556,-189.03579923437
2025-05-12,0.355701388888889,0.273569444444444,0.3,0.305940972222222,0.324927083333333,0.341972222222222,-192.874880588725
2025-05-13,0.3525625,0.271979166666667,0.299430555555556,0.306517361111111,0.325194444444444,0.342,-195.003374955854
