"Date","FCP.LYS1_1","FCP.LYS1_2","FCP.LYS1_3","FCP.LYS1_4","FCP.LYS1_5","FCP.LYS1_6","FCP.LYS1_SWP"
"2025-04-07",0.378197916666667,0.273982638888889,0.286847222222222,0.291114583333333,0.311538194444444,0.33,-12.0145833333333
"2025-04-08",0.377427083333333,0.274,0.287635416666667,0.291597222222222,0.312,0.33,-12.1506944444444
"2025-04-09",0.378114583333333,0.274899305555556,0.288621527777778,0.291989583333333,0.312,0.330583333333333,-12.3152777777778
"2025-04-10",0.377847222222222,0.275430555555556,0.289,0.292215277777778,0.312784722222222,0.331,-12.4836805555556
"2025-04-11",0.378267361111111,0.275798611111111,0.289572916666667,0.292881944444444,0.313,0.33146875,-12.6270833333333
"2025-04-12",0.378454861111111,0.276770833333333,0.290673611111111,0.293354166666667,0.313510416666667,0.332,-12.7569444444444
"2025-04-13",0.376423611111111,0.276135416666667,0.290815972222222,0.294,0.314465277777778,0.332416666666667,-12.9541666666667
"2025-04-14",0.374100694444444,0.274506944444444,0.289815972222222,0.294010416666667,0.315,0.333,-13.1399305555556
"2025-04-15",0.37375,0.273920138888889,0.289538194444444,0.294,0.315,0.333,-13.4166666666667
"2025-04-16",0.376340277777778,0.275486111111111,0.290017361111111,0.294,0.315,0.333013888888889,-13.6631944444444
"2025-04-17",0.374954861111111,0.275836805555556,0.290666666666667,0.29415625,0.315059027777778,0.333940972222222,-13.8006944444444
"2025-04-18",0.371638888888889,0.274236111111111,0.289614583333333,0.294197916666667,0.315645833333333,0.334,-13.9232638888889
"2025-04-19",0.37008904109589,0.272760273972603,0.288506849315068,0.293986301369863,0.315,0.334,-14.1979452054795
"2025-04-20",0.371041666666667,0.273010416666667,0.289,0.293930555555556,0.315,0.333795138888889,-14.3614583333333
"2025-04-21",0.371225694444444,0.273739583333333,0.289,0.293993055555556,0.315,0.333493055555556,-14.5961805555556
"2025-04-22",0.381513888888889,0.274743055555556,0.289083333333333,0.29403125,0.315017361111111,0.334,-14.8038194444444
"2025-04-23",0.387958333333333,0.279774305555556,0.291059027777778,0.295597222222222,0.315965277777778,0.334006944444444,-14.7909722222222
"2025-04-24",0.384555555555556,0.280013888888889,0.292861111111111,0.296329861111111,0.316173611111111,0.334892361111111,-14.5590277777778
"2025-04-25",0.382458333333333,0.280125,0.293458333333333,0.296965277777778,0.316961805555556,0.335,-14.4260416666667
"2025-04-26",0.381652777777778,0.280798611111111,0.294357638888889,0.297347222222222,0.317086805555556,0.335,-14.459375
"2025-04-27",0.380340277777778,0.280795138888889,0.295152777777778,0.298385416666667,0.317996527777778,0.335552083333333,-14.5625
"2025-04-28",0.379489583333333,0.280715277777778,0.296,0.299072916666667,0.318388888888889,0.336020833333333,-14.7100694444444
"2025-04-29",0.378659722222222,0.281114583333333,0.296152777777778,0.300145833333333,0.319,0.336947916666667,-14.8729166666667
"2025-04-30",0.37678125,0.280333333333333,0.296527777777778,0.301,0.319701388888889,0.337472222222222,-15.1267361111111
"2025-05-01",0.3745625,0.279340277777778,0.296416666666667,0.301423611111111,0.32,0.338,-15.3951388888889
"2025-05-02",0.373104166666667,0.278673611111111,0.296434027777778,0.30196875,0.320097222222222,0.33828125,-15.7041666666667
"2025-05-03",0.371881944444444,0.27871875,0.297131944444444,0.302625,0.320958333333333,0.339,-16.025
"2025-05-04",0.371857638888889,0.279934027777778,0.298670138888889,0.303291666666667,0.321815972222222,0.339,-16.3503472222222
"2025-05-05",0.368743055555556,0.278302083333333,0.298670138888889,0.304454861111111,0.322697916666667,0.339934027777778,-16.559375
"2025-05-06",0.365569444444444,0.275881944444444,0.297527777777778,0.3044375,0.323,0.340003472222222,-16.8559027777778
"2025-05-07",0.364777777777778,0.274545138888889,0.296847222222222,0.3039375,0.323,0.340003472222222,-17.1861111111111
