date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
2025-04-11,2.34190965,7.8090625,-3.45,15.93,0
2025-04-12,1.596355005,4.578020833,-0.44,7.64,3.302
2025-04-13,2.575325556,2.596145833,-5.61,8.7,0
2025-04-14,3.028173271,2.996145833,-8.88,15.64,0
2025-04-15,3.195480031,6.257916667,-7.06,20,0
2025-04-16,2.013653249,3.994479167,-4.29,15.4,0
2025-04-17,1.966521134,1.438020833,-3.23,5.96,0
2025-04-18,2.768433462,0.242083333,-10.36,10.5,0
2025-04-19,2.351708794,4.166979167,-7.79,13.91,0
2025-04-20,2.400537422,5.583645833,-0.91,12.08,0
2025-04-21,2.12588861,3.807083333,-4.65,9.07,0.254
2025-04-22,2.55030771,2.6921875,-6.06,9.29,0
2025-04-23,3.086275871,2.663020833,-9.9,14.29,0
2025-04-24,3.167134969,5.8228125,-7.75,15.51,0
2025-04-25,4.03106716,8.986145833,-3.48,17.55,0
2025-04-26,2.897547161,7.8334375,-2.83,17.41,0.254
2025-04-27,2.638558782,8.002291667,-2.81,17.34,0
2025-04-28,3.898937829,9.611979167,3.75,16.99,0
2025-04-29,2.189134038,8.209166667,-0.27,13.21,0
2025-04-30,3.041974467,7.6025,-2.36,13.7,0
2025-05-01,3.886182556,6.770833333,-5.58,18.93,0
2025-05-02,4.139795978,9.509166667,-5.39,23.7,0
2025-05-03,4.696839647,13.02354167,-3.35,26.47,0
2025-05-04,1.758426174,7.728333333,3.81,12.97,6.096
2025-05-05,1.51362053,4.48125,-3.08,8.62,6.604
2025-05-06,2.816353006,5.5034375,-5.46,12.97,0
2025-05-07,4.359032586,9.6925,-3.43,22.77,0
2025-05-08,4.204718583,10.35395833,-0.81,20.93,0
2025-05-09,4.657340522,12.238125,-1.49,25.61,0
2025-05-10,3.659021853,13.75302083,1.21,28.68,0
2025-05-11,3.132073859,12.69322917,2.21,23.55,0.254
2025-05-12,2.342400701,10.29114583,5.18,15.5,7.112
2025-05-13,1.402462669,6.37,4.09,9.31,3.302
2025-05-14,2.22502705,7.908229167,5.49,11.86,1.27
2025-05-15,3.032803798,8.074270833,1.83,13.08,3.048
2025-05-16,2.81466238,7.905208333,1.7,13.06,0
2025-05-17,3.177983489,9.023125,-0.73,16.97,7.874
2025-05-18,2.475637171,7.577083333,2.98,10.64,7.366
2025-05-19,3.436521211,5.88,-3.1,13.2,0
2025-05-20,2.893281179,7.322916667,-1.47,13.01,0
2025-05-21,3.260518205,5.541666667,-4.26,14.04,0
2025-05-22,1.395054429,5.324166667,-1.83,10.72,8.636
2025-05-23,3.27242962,8.121875,0.24,16.13,0
