 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  18.12.    Time:  19:54: 2
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      270  0.9900000E+02  0.50000E+00    2      868    -4    -5     T
      272  0.1000000E+03  0.50000E+00    2      872    -4    -5     T
      274  0.1010000E+03  0.50000E+00    2      876    -4    -5     T
      276  0.1020000E+03  0.50000E+00    2      880    -4    -5     T
      278  0.1030000E+03  0.50000E+00    2      884    -4    -5     T
      280  0.1040000E+03  0.50000E+00    2      888    -4    -5     T
      282  0.1050000E+03  0.50000E+00    2      892    -4    -5     T
      284  0.1060000E+03  0.50000E+00    2      896    -4    -5     T
      286  0.1070000E+03  0.50000E+00    2      900    -4    -5     T
      288  0.1080000E+03  0.50000E+00    2      904    -4    -5     T
      290  0.1090000E+03  0.50000E+00    2      908    -4    -5     T
      292  0.1100000E+03  0.50000E+00    2      912    -4    -5     T
      294  0.1110000E+03  0.50000E+00    2      916    -4    -5     T
      296  0.1120000E+03  0.50000E+00    2      920    -4    -5     T
      298  0.1130000E+03  0.50000E+00    2      924    -4    -5     T
      300  0.1140000E+03  0.50000E+00    2      928    -4    -5     T
      302  0.1150000E+03  0.50000E+00    2      932    -4    -5     T
      304  0.1160000E+03  0.50000E+00    2      936    -4    -5     T
      306  0.1170000E+03  0.50000E+00    2      940    -4    -5     T
      308  0.1180000E+03  0.50000E+00    2      944    -4    -5     T
      310  0.1190000E+03  0.50000E+00    2      948    -4    -5     T
      312  0.1200000E+03  0.50000E+00    2      952    -4    -5     T
      314  0.1210000E+03  0.50000E+00    2      956    -4    -5     T
      316  0.1220000E+03  0.50000E+00    2      960    -4    -5     T
      318  0.1230000E+03  0.50000E+00    2      964    -4    -5     T
      320  0.1240000E+03  0.50000E+00    2      968    -4    -5     T
      322  0.1250000E+03  0.50000E+00    2      972    -4    -5     T
      324  0.1260000E+03  0.50000E+00    2      976    -4    -5     T
      326  0.1270000E+03  0.50000E+00    2      980    -4    -5     T
      328  0.1280000E+03  0.50000E+00    2      984    -4    -5     T
      330  0.1290000E+03  0.50000E+00    2      988    -4    -5     T
      332  0.1300000E+03  0.50000E+00    2      992    -4    -5     T
      334  0.1310000E+03  0.50000E+00    2      996    -4    -5     T
      336  0.1320000E+03  0.50000E+00    2     1000    -4    -5     T
      338  0.1330000E+03  0.50000E+00    2     1004    -4    -5     T
      340  0.1340000E+03  0.50000E+00    2     1008    -4    -5     T
      342  0.1350000E+03  0.50000E+00    2     1012    -4    -5     T
