,Unnamed: 0,date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h3,theta3,temp3,h7,theta7,temp7,h12,theta12,temp12,h22,theta22,temp22,h32,theta32,temp32,h47,theta47,temp47,h72,theta72,temp72,h92,theta92,temp92,h112,theta112,temp112
206,207,2023-07-26,5,20,10,25,0,5.0,0.0,0.16577,0.0,-0.015686,835.0,0.0,2.3492,0.0,-16.391,-1000000.0,0.0,-207.64,0.0,169.68,45.61,20.39,32.669,0.0,-1469.96,0.1776,20.0,-367.16,0.2505,20.0,-240.54,0.2793,20.0,-166.84,0.3068,20.0,-138.8,0.3206,20.0,-121.6,0.3301,20.0,-124.74,0.3283,20.0,-152.74,0.3129,20.0,-193.59,0.2952,20.0
207,208,2023-07-27,5,20,10,25,0,5.0,0.0,0.14856,0.0,-0.015678,840.0,0.0,2.5046,0.0,-16.406,-1000000.0,0.0,-207.69,0.0,169.68,45.438,20.39,32.824,0.0,-1521.11,0.1761,20.0,-386.87,0.2468,20.0,-254.82,0.2755,20.0,-176.53,0.3025,20.0,-146.72,0.3162,20.0,-128.1,0.3265,20.0,-127.85,0.3266,20.0,-149.95,0.3144,20.0,-186.7,0.2981,20.0
208,209,2023-07-28,5,20,10,25,0,5.0,0.0,0.1368,0.0,-0.015761,845.0,0.0,2.6447,0.0,-16.422,-1000000.0,0.0,-207.2,0.0,169.68,45.283,20.39,32.964,0.0,-1575.83,0.1746,20.0,-404.92,0.2442,20.0,-267.54,0.2722,20.0,-185.5,0.2986,20.0,-154.26,0.3123,20.0,-134.0,0.3232,20.0,-130.93,0.3249,20.0,-148.58,0.3152,20.0,-181.11,0.3005,20.0
209,210,2023-07-29,5,20,10,25,0,5.0,0.0,0.12535,0.0,-0.015953,850.0,0.0,2.7744,0.0,-16.438,-1000000.0,0.0,-206.09,0.0,169.68,45.137,20.39,33.094,0.0,-1663.02,0.1728,20.0,-421.89,0.2417,20.0,-279.24,0.2692,20.0,-194.07,0.2951,20.0,-161.22,0.3092,20.0,-139.33,0.3203,20.0,-133.85,0.3233,20.0,-148.1,0.3154,20.0,-176.78,0.3024,20.0
210,211,2023-07-30,5,20,10,25,0,5.0,0.0,0.11679,0.0,-0.016251,855.0,0.0,2.8928,0.0,-16.454,-1000000.0,0.0,-204.34,0.0,169.68,45.003,20.39,33.212,0.0,-1731.9,0.1713,20.0,-440.24,0.2391,20.0,-290.13,0.2664,20.0,-201.97,0.2924,20.0,-167.51,0.3065,20.0,-144.23,0.3176,20.0,-136.62,0.3218,20.0,-148.2,0.3154,20.0,-173.53,0.3039,20.0
211,212,2023-07-31,5,20,10,25,0,5.0,0.0,0.1066,0.0,-0.016633,860.0,0.0,3.0015,0.0,-16.471,-1000000.0,0.0,-202.13,0.0,169.68,44.877,20.39,33.321,0.0,-1774.0,0.1704,20.0,-456.44,0.2368,20.0,-300.95,0.2636,20.0,-209.31,0.2899,20.0,-173.38,0.3039,20.0,-148.87,0.315,20.0,-139.29,0.3203,20.0,-148.63,0.3151,20.0,-171.03,0.3049,20.0
212,213,2023-08-01,5,20,10,25,0,5.0,0.0,0.1001,0.0,-0.017074,865.0,0.0,3.1057,0.0,-16.487,-1000000.0,0.0,-199.58,0.0,169.68,44.756,20.39,33.425,0.0,-1830.11,0.1692,20.0,-472.34,0.2345,20.0,-311.48,0.2613,20.0,-216.29,0.2875,20.0,-179.0,0.3015,20.0,-153.43,0.3126,20.0,-141.86,0.3189,20.0,-149.28,0.3148,20.0,-169.07,0.3058,20.0
213,214,2023-08-02,5,20,10,25,0,5.0,0.0,0.094164,0.0,-0.017553,870.0,0.0,3.203,0.0,-16.505,-1000000.0,0.0,-196.8,0.0,169.68,44.641,20.39,33.523,0.0,-1881.11,0.1681,20.0,-486.23,0.2325,20.0,-321.37,0.2594,20.0,-222.88,0.2853,20.0,-184.38,0.2991,20.0,-157.76,0.3108,20.0,-144.36,0.3175,20.0,-150.11,0.3143,20.0,-167.59,0.3064,20.0
214,215,2023-08-03,5,20,10,25,0,5.0,0.0,0.09015,0.0,-0.018052,875.0,0.0,3.2938,0.0,-16.523,-1000000.0,0.0,-193.91,0.0,169.68,44.533,20.39,33.613,0.0,-1922.45,0.1672,20.0,-499.29,0.2311,20.0,-330.63,0.2576,20.0,-229.18,0.2832,20.0,-189.58,0.2968,20.0,-161.82,0.309,20.0,-146.78,0.3162,20.0,-151.1,0.3138,20.0,-166.51,0.3069,20.0
215,216,2023-08-04,5,20,10,25,0,5.0,0.0,0.083928,0.0,-0.01863,880.0,0.0,3.3797,0.0,-16.541,-1000000.0,0.0,-191.25,0.0,169.68,44.429,20.39,33.699,0.0,-1945.2,0.1667,20.0,-511.61,0.2298,20.0,-339.22,0.2559,20.0,-235.31,0.2811,20.0,-194.69,0.2949,20.0,-165.7,0.3073,20.0,-149.18,0.3148,20.0,-152.22,0.3132,20.0,-165.73,0.3073,20.0
216,217,2023-08-05,5,20,10,25,0,5.0,0.0,0.079348,0.0,-0.019589,885.0,0.0,3.4615,0.0,-16.56,-1000000.0,0.0,-188.79,0.0,169.68,44.328,20.39,33.781,0.0,-1975.54,0.1662,20.0,-523.22,0.2286,20.0,-347.52,0.2543,20.0,-241.3,0.2791,20.0,-199.54,0.2932,20.0,-169.37,0.3057,20.0,-151.6,0.3135,20.0,-153.46,0.3126,20.0,-165.19,0.3075,20.0
217,218,2023-08-06,5,20,10,25,0,5.0,0.0,0.078668,0.0,-0.020555,890.0,0.0,3.5402,0.0,-16.58,-1000000.0,0.0,-186.3,0.0,169.68,44.229,20.39,33.86,0.0,-2028.02,0.1653,20.0,-534.39,0.2274,20.0,-355.3,0.2528,20.0,-247.15,0.2775,20.0,-204.13,0.2917,20.0,-172.91,0.3041,20.0,-154.21,0.3123,20.0,-154.82,0.312,20.0,-164.86,0.3076,20.0
218,219,2023-08-07,5,20,10,25,0,5.0,0.0,0.073745,0.0,-0.021474,895.0,0.0,3.6157,0.0,-16.601,-1000000.0,0.0,-183.94,0.0,169.68,44.132,20.39,33.935,0.0,-2083.42,0.1644,20.0,-547.04,0.226,20.0,-362.58,0.2514,20.0,-252.67,0.2761,20.0,-208.49,0.2902,20.0,-176.32,0.3026,20.0,-156.75,0.3112,20.0,-156.25,0.3114,20.0,-164.72,0.3077,20.0
219,220,2023-08-08,5,20,10,25,0,5.0,0.0,0.069634,0.0,-0.022321,900.0,0.0,3.6865,0.0,-16.624,-1000000.0,0.0,-181.77,0.0,169.68,44.039,20.39,34.006,0.0,-2106.36,0.1642,20.0,-559.08,0.2248,20.0,-370.35,0.2499,20.0,-257.89,0.2747,20.0,-212.65,0.2888,20.0,-179.61,0.3012,20.0,-159.15,0.3101,20.0,-157.65,0.3108,20.0,-164.73,0.3077,20.0
220,221,2023-08-09,5,20,10,25,0,5.0,0.0,0.069578,0.0,-0.023083,905.0,0.0,3.757,0.0,-16.646,-1000000.0,0.0,-179.8,0.0,169.68,43.946,20.39,34.077,0.0,-2156.52,0.1633,20.0,-571.29,0.2235,20.0,-377.98,0.2484,20.0,-262.91,0.2734,20.0,-216.64,0.2874,20.0,-182.81,0.2998,20.0,-161.44,0.3091,20.0,-159.02,0.3102,20.0,-164.85,0.3076,20.0
221,222,2023-08-10,5,20,10,25,0,5.0,0.0,0.065969,0.0,-0.023767,910.0,0.0,3.8239,0.0,-16.67,-1000000.0,0.0,-178.05,0.0,169.68,43.855,20.39,34.144,0.0,-2193.39,0.1628,20.0,-582.91,0.2222,20.0,-385.3,0.247,20.0,-267.75,0.2722,20.0,-220.51,0.2861,20.0,-185.94,0.2984,20.0,-163.63,0.3082,20.0,-160.36,0.3096,20.0,-165.05,0.3076,20.0
222,223,2023-08-11,5,20,10,25,0,5.0,0.0,0.063338,0.0,-0.02437,915.0,0.0,3.8878,0.0,-16.694,-1000000.0,0.0,-176.5,0.0,169.68,43.767,20.39,34.207,0.0,-2224.17,0.1623,20.0,-593.4,0.2211,20.0,-392.47,0.2459,20.0,-272.41,0.271,20.0,-224.27,0.2848,20.0,-189.01,0.2971,20.0,-165.74,0.3073,20.0,-161.68,0.309,20.0,-165.31,0.3074,20.0
223,224,2023-08-12,5,20,10,25,0,5.0,0.0,0.061462,0.0,-0.024896,920.0,0.0,3.9496,0.0,-16.719,-1000000.0,0.0,-175.15,0.0,169.68,43.681,20.39,34.269,0.0,-2258.18,0.1618,20.0,-603.12,0.2201,20.0,-399.24,0.245,20.0,-276.96,0.2698,20.0,-227.94,0.2836,20.0,-192.04,0.2958,20.0,-167.79,0.3064,20.0,-162.97,0.3085,20.0,-165.62,0.3073,20.0
224,225,2023-08-13,5,20,10,25,0,5.0,0.0,0.059418,0.0,-0.025351,925.0,0.0,4.0094,0.0,-16.744,-1000000.0,0.0,-173.98,0.0,169.68,43.596,20.39,34.329,0.0,-2293.52,0.1612,20.0,-612.03,0.2192,20.0,-405.88,0.244,20.0,-281.33,0.2687,20.0,-231.53,0.2824,20.0,-195.01,0.2948,20.0,-169.77,0.3055,20.0,-164.23,0.3079,20.0,-165.97,0.3072,20.0
225,226,2023-08-14,5,20,10,25,0,5.0,0.0,0.056745,0.0,-0.02574,930.0,0.0,4.067,0.0,-16.77,-1000000.0,0.0,-172.98,0.0,169.68,43.513,20.39,34.387,0.0,-2321.9,0.1608,20.0,-621.01,0.2184,20.0,-412.28,0.2431,20.0,-285.65,0.2676,20.0,-235.06,0.2812,20.0,-197.88,0.2938,20.0,-171.69,0.3046,20.0,-165.48,0.3074,20.0,-166.36,0.307,20.0
226,227,2023-08-15,5,20,10,25,0,5.0,0.0,0.054928,0.0,-0.026065,935.0,0.0,4.1231,0.0,-16.796,-1000000.0,0.0,-172.13,0.0,169.68,43.43,20.39,34.443,0.0,-2363.32,0.1602,20.0,-629.68,0.2178,20.0,-418.38,0.2422,20.0,-289.84,0.2665,20.0,-238.55,0.28,20.0,-200.65,0.2928,20.0,-173.56,0.3038,20.0,-166.7,0.3068,20.0,-166.78,0.3068,20.0
227,228,2023-08-16,5,20,10,25,0,5.0,0.0,0.052917,0.0,-0.026337,940.0,0.0,4.1772,0.0,-16.822,-1000000.0,0.0,-171.43,0.0,169.68,43.35,20.39,34.497,0.0,-2380.28,0.1599,20.0,-637.78,0.2171,20.0,-424.18,0.2414,20.0,-294.0,0.2654,20.0,-242.0,0.2788,20.0,-203.33,0.2919,20.0,-175.39,0.303,20.0,-167.9,0.3063,20.0,-167.23,0.3066,20.0
228,229,2023-08-17,5,20,10,25,0,5.0,0.0,0.053332,0.0,-0.026563,945.0,0.0,4.2301,0.0,-16.849,-1000000.0,0.0,-170.85,0.0,169.68,43.271,20.39,34.55,0.0,-2400.06,0.1596,20.0,-646.28,0.2165,20.0,-429.85,0.2406,20.0,-298.05,0.2644,20.0,-245.42,0.2779,20.0,-205.93,0.2911,20.0,-177.17,0.3023,20.0,-169.08,0.3058,20.0,-167.71,0.3064,20.0
229,230,2023-08-18,5,20,10,25,0,5.0,0.0,0.051841,0.0,-0.02674,950.0,0.0,4.2818,0.0,-16.875,-1000000.0,0.0,-170.4,0.0,169.68,43.192,20.39,34.601,0.0,-2423.34,0.1593,20.0,-654.32,0.2159,20.0,-435.53,0.2398,20.0,-302.14,0.2633,20.0,-248.72,0.2771,20.0,-208.46,0.2902,20.0,-178.92,0.3015,20.0,-170.25,0.3053,20.0,-168.21,0.3062,20.0
230,231,2023-08-19,5,20,10,25,0,5.0,0.0,0.049612,0.0,-0.026874,955.0,0.0,4.3316,0.0,-16.902,-1000000.0,0.0,-170.05,0.0,169.68,43.116,20.39,34.651,0.0,-2436.71,0.159,20.0,-661.64,0.2153,20.0,-440.96,0.239,20.0,-306.12,0.2623,20.0,-251.91,0.2763,20.0,-210.92,0.2894,20.0,-180.63,0.3007,20.0,-171.39,0.3048,20.0,-168.74,0.3059,20.0
231,232,2023-08-20,5,20,10,25,0,5.0,0.0,0.04765,0.0,-0.026971,960.0,0.0,4.3801,0.0,-16.929,-1000000.0,0.0,-169.8,0.0,169.68,43.04,20.39,34.7,0.0,-2450.65,0.1588,20.0,-668.55,0.2147,20.0,-446.16,0.2382,20.0,-310.06,0.2616,20.0,-255.01,0.2755,20.0,-213.31,0.2886,20.0,-182.31,0.3,20.0,-172.53,0.3043,20.0,-169.29,0.3057,20.0
232,233,2023-08-21,5,20,10,25,0,5.0,0.0,0.046537,0.0,-0.027033,965.0,0.0,4.4274,0.0,-16.956,-1000000.0,0.0,-169.64,0.0,169.68,42.966,20.39,34.747,0.0,-2467.62,0.1585,20.0,-676.2,0.2141,20.0,-451.15,0.2375,20.0,-313.87,0.2608,20.0,-258.01,0.2747,20.0,-215.65,0.2878,20.0,-183.97,0.2993,20.0,-173.65,0.3038,20.0,-169.86,0.3055,20.0
233,234,2023-08-22,5,20,10,25,0,5.0,0.0,0.04638,0.0,-0.027063,970.0,0.0,4.4738,0.0,-16.983,-1000000.0,0.0,-169.57,0.0,169.68,42.892,20.39,34.793,0.0,-2497.56,0.1582,20.0,-684.13,0.2135,20.0,-455.94,0.2368,20.0,-317.57,0.2601,20.0,-260.94,0.2739,20.0,-217.93,0.287,20.0,-185.6,0.2986,20.0,-174.76,0.3033,20.0,-170.45,0.3052,20.0
234,235,2023-08-23,5,20,10,25,0,5.0,0.0,0.04551,0.0,-0.027063,975.0,0.0,4.5195,0.0,-17.01,-1000000.0,0.0,-169.57,0.0,169.68,42.82,20.39,34.839,0.0,-2533.43,0.1577,20.0,-692.21,0.2129,20.0,-460.89,0.2361,20.0,-321.11,0.2594,20.0,-263.77,0.2732,20.0,-220.15,0.2862,20.0,-187.2,0.2979,20.0,-175.86,0.3028,20.0,-171.06,0.3049,20.0
235,236,2023-08-24,5,20,10,25,0,5.0,0.0,0.044656,0.0,-0.027038,980.0,0.0,4.5644,0.0,-17.037,-1000000.0,0.0,-169.63,0.0,169.68,42.748,20.39,34.884,0.0,-2565.45,0.1574,20.0,-700.53,0.2123,20.0,-466.14,0.2354,20.0,-324.6,0.2587,20.0,-266.54,0.2725,20.0,-222.33,0.2855,20.0,-188.78,0.2972,20.0,-176.94,0.3023,20.0,-171.69,0.3047,20.0
236,237,2023-08-25,5,20,10,25,0,5.0,0.0,0.04368,0.0,-0.026988,985.0,0.0,4.6083,0.0,-17.064,-1000000.0,0.0,-169.76,0.0,169.68,42.677,20.39,34.928,0.0,-2592.63,0.1571,20.0,-708.79,0.2116,20.0,-471.34,0.2346,20.0,-328.02,0.2581,20.0,-269.24,0.2718,20.0,-224.47,0.2848,20.0,-190.35,0.2965,20.0,-178.02,0.3019,20.0,-172.33,0.3044,20.0
237,238,2023-08-26,5,20,10,25,0,5.0,0.0,0.042739,0.0,-0.026918,990.0,0.0,4.6513,0.0,-17.091,-1000000.0,0.0,-169.94,0.0,169.68,42.607,20.39,34.971,0.0,-2615.77,0.1568,20.0,-716.81,0.211,20.0,-476.44,0.2339,20.0,-331.36,0.2574,20.0,-271.9,0.2711,20.0,-226.57,0.2841,20.0,-191.91,0.2958,20.0,-179.1,0.3014,20.0,-172.99,0.3041,20.0
238,239,2023-08-27,5,20,10,25,0,5.0,0.0,0.041953,0.0,-0.026829,995.0,0.0,4.6934,0.0,-17.118,-1000000.0,0.0,-170.17,0.0,169.68,42.538,20.39,35.013,0.0,-2638.2,0.1566,20.0,-724.61,0.2104,20.0,-481.43,0.2332,20.0,-334.62,0.2568,20.0,-274.49,0.2704,20.0,-228.64,0.2834,20.0,-193.44,0.2953,20.0,-180.16,0.3009,20.0,-173.67,0.3038,20.0
239,240,2023-08-28,5,20,10,25,0,5.0,0.0,0.041285,0.0,-0.026723,1000.0,0.0,4.7349,0.0,-17.145,-1000000.0,0.0,-170.44,0.0,169.68,42.47,20.39,35.055,0.0,-2662.79,0.1563,20.0,-732.31,0.2098,20.0,-486.29,0.2325,20.0,-337.85,0.2562,20.0,-277.04,0.2698,20.0,-230.68,0.2827,20.0,-194.95,0.2948,20.0,-181.22,0.3005,20.0,-174.35,0.3035,20.0
240,241,2023-08-29,5,20,10,25,0,5.0,0.0,0.040603,0.0,-0.026601,1005.0,0.0,4.7757,0.0,-17.171,-1000000.0,0.0,-170.75,0.0,169.68,42.402,20.39,35.095,0.0,-2689.8,0.156,20.0,-739.92,0.2092,20.0,-491.26,0.2319,20.0,-340.99,0.2556,20.0,-279.55,0.2691,20.0,-232.69,0.282,20.0,-196.42,0.2943,20.0,-182.28,0.3,20.0,-175.05,0.3032,20.0
241,242,2023-08-30,5,20,10,25,0,5.0,0.0,0.039828,0.0,-0.026464,1010.0,0.0,4.8157,0.0,-17.198,-1000000.0,0.0,-171.1,0.0,169.68,42.336,20.39,35.135,0.0,-2717.3,0.1557,20.0,-747.32,0.2086,20.0,-495.99,0.2314,20.0,-344.06,0.255,20.0,-282.02,0.2685,20.0,-234.68,0.2813,20.0,-197.87,0.2938,20.0,-183.33,0.2996,20.0,-175.76,0.3029,20.0
242,243,2023-08-31,5,20,10,25,0,5.0,0.0,0.03901,0.0,-0.026315,1015.0,0.0,4.8549,0.0,-17.224,-1000000.0,0.0,-171.49,0.0,169.68,42.27,20.39,35.175,0.0,-2743.83,0.1554,20.0,-754.46,0.2081,20.0,-500.56,0.231,20.0,-347.12,0.2544,20.0,-284.45,0.2679,20.0,-236.65,0.2806,20.0,-199.29,0.2933,20.0,-184.37,0.2991,20.0,-176.48,0.3026,20.0
243,244,2023-09-01,5,20,10,25,0,5.0,0.0,0.038224,0.0,-0.026154,1020.0,0.0,4.8933,0.0,-17.25,-1000000.0,0.0,-171.9,0.0,169.68,42.206,20.39,35.213,0.0,-2769.34,0.1551,20.0,-761.16,0.2076,20.0,-505.16,0.2305,20.0,-350.11,0.2538,20.0,-286.85,0.2672,20.0,-238.61,0.28,20.0,-200.69,0.2928,20.0,-185.41,0.2986,20.0,-177.21,0.3022,20.0
244,245,2023-09-02,5,20,10,25,0,5.0,0.0,0.037488,0.0,-0.025981,1025.0,0.0,4.931,0.0,-17.277,-1000000.0,0.0,-172.34,0.0,169.68,42.142,20.39,35.251,0.0,-2794.08,0.1548,20.0,-767.41,0.2071,20.0,-509.7,0.23,20.0,-353.02,0.2532,20.0,-289.22,0.2666,20.0,-240.55,0.2793,20.0,-202.06,0.2924,20.0,-186.45,0.2982,20.0,-177.95,0.3019,20.0
245,246,2023-09-03,5,20,10,25,0,5.0,0.0,0.036777,0.0,-0.0258,1030.0,0.0,4.9679,0.0,-17.302,-1000000.0,0.0,-172.81,0.0,169.68,42.079,20.39,35.288,0.0,-2818.15,0.1546,20.0,-773.34,0.2066,20.0,-514.13,0.2295,20.0,-355.89,0.2527,20.0,-291.56,0.266,20.0,-242.47,0.2787,20.0,-203.42,0.2919,20.0,-187.48,0.2977,20.0,-178.69,0.3016,20.0
246,247,2023-09-04,5,20,10,25,0,5.0,0.0,0.03609,0.0,-0.025609,1035.0,0.0,5.0042,0.0,-17.328,-1000000.0,0.0,-173.3,0.0,169.68,42.017,20.39,35.324,0.0,-2840.99,0.1543,20.0,-779.6,0.2063,20.0,-518.42,0.2291,20.0,-358.76,0.2521,20.0,-293.88,0.2654,20.0,-244.36,0.2782,20.0,-204.75,0.2915,20.0,-188.51,0.2973,20.0,-179.45,0.3013,20.0
247,248,2023-09-05,5,20,10,25,0,5.0,0.0,0.035449,0.0,-0.02541,1040.0,0.0,5.0398,0.0,-17.353,-1000000.0,0.0,-173.81,0.0,169.68,41.956,20.39,35.359,0.0,-2862.16,0.1541,20.0,-785.57,0.2059,20.0,-522.59,0.2286,20.0,-361.58,0.2516,20.0,-296.17,0.2648,20.0,-246.23,0.2777,20.0,-206.06,0.291,20.0,-189.54,0.2968,20.0,-180.21,0.3009,20.0
248,249,2023-09-06,5,20,10,25,0,5.0,0.0,0.034843,0.0,-0.025204,1045.0,0.0,5.0748,0.0,-17.379,-1000000.0,0.0,-174.34,0.0,169.68,41.896,20.39,35.394,0.0,-2882.08,0.1539,20.0,-791.32,0.2056,20.0,-526.65,0.2282,20.0,-364.33,0.251,20.0,-298.46,0.2642,20.0,-248.06,0.2773,20.0,-207.36,0.2906,20.0,-190.57,0.2964,20.0,-180.97,0.3006,20.0
249,250,2023-09-07,5,20,10,25,0,5.0,0.0,0.034264,0.0,-0.024991,1050.0,0.0,5.1092,0.0,-17.404,-1000000.0,0.0,-174.89,0.0,169.68,41.836,20.39,35.429,0.0,-2901.13,0.1536,20.0,-796.88,0.2053,20.0,-530.63,0.2278,20.0,-367.11,0.2505,20.0,-300.71,0.2637,20.0,-249.85,0.2768,20.0,-208.63,0.2901,20.0,-191.59,0.2959,20.0,-181.74,0.3002,20.0
250,251,2023-09-08,5,20,10,25,0,5.0,0.0,0.033704,0.0,-0.024772,1055.0,0.0,5.1431,0.0,-17.429,-1000000.0,0.0,-175.45,0.0,169.68,41.778,20.39,35.463,0.0,-2919.62,0.1534,20.0,-802.31,0.205,20.0,-534.5,0.2274,20.0,-369.84,0.25,20.0,-302.98,0.2631,20.0,-251.61,0.2763,20.0,-209.89,0.2897,20.0,-192.62,0.2956,20.0,-182.52,0.2999,20.0
251,252,2023-09-09,5,20,10,25,0,5.0,0.0,0.033169,0.0,-0.024548,1060.0,0.0,5.1764,0.0,-17.453,-1000000.0,0.0,-176.03,0.0,169.68,41.72,20.39,35.496,0.0,-2936.55,0.1532,20.0,-807.67,0.2047,20.0,-538.27,0.227,20.0,-372.51,0.2495,20.0,-305.2,0.2625,20.0,-253.34,0.2759,20.0,-211.14,0.2893,20.0,-193.63,0.2952,20.0,-183.3,0.2996,20.0
252,253,2023-09-10,5,20,10,25,0,5.0,0.0,0.032753,0.0,-0.024319,1065.0,0.0,5.2091,0.0,-17.478,-1000000.0,0.0,-176.61,0.0,169.68,41.663,20.39,35.529,0.0,-2948.77,0.1531,20.0,-813.03,0.2044,20.0,-541.92,0.2266,20.0,-375.12,0.249,20.0,-307.43,0.2621,20.0,-255.04,0.2755,20.0,-212.37,0.2889,20.0,-194.64,0.2949,20.0,-184.09,0.2992,20.0
253,254,2023-09-11,5,20,10,25,0,5.0,0.0,0.032247,0.0,-0.024085,1070.0,0.0,5.2417,0.0,-17.502,-1000000.0,0.0,-177.21,0.0,169.68,41.606,20.39,35.561,0.0,-2965.55,0.1529,20.0,-818.48,0.2041,20.0,-545.67,0.2262,20.0,-377.83,0.2484,20.0,-309.6,0.2616,20.0,-256.72,0.275,20.0,-213.59,0.2885,20.0,-195.64,0.2945,20.0,-184.87,0.2989,20.0
254,255,2023-09-12,5,20,10,25,0,5.0,0.0,0.032178,0.0,-0.023847,1075.0,0.0,5.2736,0.0,-17.526,-1000000.0,0.0,-177.83,0.0,169.68,41.55,20.39,35.593,0.0,-2979.48,0.1528,20.0,-823.58,0.2038,20.0,-549.35,0.2258,20.0,-380.49,0.2479,20.0,-311.76,0.2612,20.0,-258.36,0.2746,20.0,-214.79,0.288,20.0,-196.63,0.2942,20.0,-185.66,0.2985,20.0
255,256,2023-09-13,5,20,10,25,0,5.0,0.0,0.030739,0.0,-0.023606,1080.0,0.0,5.305,0.0,-17.549,-1000000.0,0.0,-178.45,0.0,169.68,41.495,20.39,35.625,0.0,-2988.67,0.1526,20.0,-828.71,0.2035,20.0,-552.97,0.2254,20.0,-383.1,0.2474,20.0,-313.86,0.2608,20.0,-259.99,0.2742,20.0,-215.98,0.2876,20.0,-197.62,0.2939,20.0,-186.46,0.2982,20.0
256,257,2023-09-14,5,20,10,25,0,5.0,0.0,0.030259,0.0,-0.023362,1085.0,0.0,5.3356,0.0,-17.573,-1000000.0,0.0,-179.07,0.0,169.68,41.441,20.39,35.655,0.0,-2987.78,0.1527,20.0,-833.05,0.2032,20.0,-556.46,0.225,20.0,-385.67,0.2469,20.0,-315.92,0.2604,20.0,-261.58,0.2738,20.0,-217.16,0.2872,20.0,-198.6,0.2935,20.0,-187.25,0.2978,20.0
257,258,2023-09-15,5,20,10,25,0,5.0,0.0,0.03136,0.0,-0.023114,1090.0,0.0,5.367,0.0,-17.596,-1000000.0,0.0,-179.71,0.0,169.68,41.386,20.39,35.687,0.0,-3027.73,0.1522,20.0,-838.18,0.2029,20.0,-559.91,0.2247,20.0,-388.27,0.2466,20.0,-317.96,0.26,20.0,-263.16,0.2734,20.0,-218.33,0.2868,20.0,-199.57,0.2932,20.0,-188.05,0.2975,20.0
258,259,2023-09-16,5,20,10,25,0,5.0,0.0,0.03002,0.0,-0.022864,1095.0,0.0,5.397,0.0,-17.619,-1000000.0,0.0,-180.35,0.0,169.68,41.333,20.39,35.717,0.0,-3032.24,0.1521,20.0,-842.83,0.2027,20.0,-563.29,0.2243,20.0,-390.8,0.2462,20.0,-319.95,0.2596,20.0,-264.71,0.273,20.0,-219.49,0.2865,20.0,-200.54,0.2929,20.0,-188.86,0.2971,20.0
259,260,2023-09-17,5,20,10,25,0,5.0,0.0,0.030697,0.0,-0.022612,1100.0,0.0,5.4277,0.0,-17.642,-1000000.0,0.0,-181.0,0.0,169.68,41.28,20.39,35.747,0.0,-3068.66,0.1518,20.0,-848.24,0.2024,20.0,-566.62,0.224,20.0,-393.3,0.2458,20.0,-321.93,0.2593,20.0,-266.25,0.2726,20.0,-220.64,0.2861,20.0,-201.5,0.2926,20.0,-189.66,0.2968,20.0
260,261,2023-09-18,5,20,10,25,0,5.0,0.0,0.02942,0.0,-0.022357,1105.0,0.0,5.457,0.0,-17.664,-1000000.0,0.0,-181.65,0.0,169.68,41.228,20.39,35.777,0.0,-3070.17,0.1517,20.0,-853.73,0.2021,20.0,-569.86,0.2236,20.0,-395.76,0.2455,20.0,-323.85,0.2589,20.0,-267.76,0.2722,20.0,-221.77,0.2857,20.0,-202.46,0.2922,20.0,-190.47,0.2964,20.0
261,262,2023-09-19,5,20,10,25,0,5.0,0.0,0.028087,0.0,-0.022101,1110.0,0.0,5.4851,0.0,-17.686,-1000000.0,0.0,-182.31,0.0,169.68,41.178,20.39,35.805,0.0,-3054.69,0.1519,20.0,-858.32,0.2018,20.0,-573.0,0.2233,20.0,-398.2,0.2451,20.0,-325.76,0.2585,20.0,-269.26,0.2718,20.0,-222.9,0.2853,20.0,-203.4,0.2919,20.0,-191.27,0.2961,20.0
262,263,2023-09-20,5,20,10,25,0,5.0,0.0,0.028414,0.0,-0.021843,1115.0,0.0,5.514,0.0,-17.708,-1000000.0,0.0,-182.97,0.0,169.68,41.127,20.39,35.834,0.0,-3077.72,0.1517,20.0,-863.01,0.2016,20.0,-576.03,0.223,20.0,-400.55,0.2448,20.0,-327.65,0.2581,20.0,-270.73,0.2714,20.0,-224.03,0.2849,20.0,-204.35,0.2916,20.0,-192.09,0.2958,20.0
263,264,2023-09-21,5,20,10,25,0,5.0,0.0,0.028973,0.0,-0.021584,1120.0,0.0,5.5424,0.0,-17.73,-1000000.0,0.0,-183.64,0.0,169.68,41.077,20.39,35.862,0.0,-3097.26,0.1515,20.0,-867.82,0.2013,20.0,-579.07,0.2226,20.0,-402.85,0.2445,20.0,-329.5,0.2578,20.0,-272.19,0.271,20.0,-225.14,0.2845,20.0,-205.28,0.2913,20.0,-192.9,0.2955,20.0
264,265,2023-09-22,5,20,10,25,0,5.0,0.0,0.028461,0.0,-0.021324,1125.0,0.0,5.5706,0.0,-17.751,-1000000.0,0.0,-184.31,0.0,169.68,41.028,20.39,35.89,0.0,-3114.09,0.1513,20.0,-872.92,0.201,20.0,-582.42,0.2223,20.0,-405.12,0.2441,20.0,-331.32,0.2574,20.0,-273.64,0.2707,20.0,-226.24,0.2842,20.0,-206.22,0.291,20.0,-193.71,0.2952,20.0
