 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15: 6:43
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      258  0.9800000E+02  0.50000E+00    2      849    -4    -5     T
      260  0.9900000E+02  0.50000E+00    2      853    -4    -5     T
      262  0.1000000E+03  0.50000E+00    2      857    -4    -5     T
      264  0.1010000E+03  0.50000E+00    2      861    -4    -5     T
      266  0.1020000E+03  0.50000E+00    3      866    -4    -5     T
      268  0.1030000E+03  0.50000E+00    2      871    -4    -5     T
      270  0.1040000E+03  0.50000E+00    3      876    -4    -5     T
      272  0.1050000E+03  0.50000E+00    3      881    -4    -5     T
      274  0.1060000E+03  0.50000E+00    2      885    -4    -5     T
      276  0.1070000E+03  0.50000E+00    2      889    -4    -5     T
      278  0.1080000E+03  0.50000E+00    3      894    -4    -5     T
      280  0.1090000E+03  0.50000E+00    2      898    -4    -5     T
      282  0.1100000E+03  0.50000E+00    2      902    -4    -5     T
      284  0.1110000E+03  0.50000E+00    2      906    -4    -5     T
      286  0.1120000E+03  0.50000E+00    3      911    -4    -5     T
      288  0.1130000E+03  0.50000E+00    2      915    -4    -5     T
      290  0.1140000E+03  0.50000E+00    2      919    -4    -5     T
      292  0.1150000E+03  0.50000E+00    2      923    -4    -5     T
      294  0.1160000E+03  0.50000E+00    2      927    -4    -5     T
      296  0.1170000E+03  0.50000E+00    2      931    -4    -5     T
      298  0.1180000E+03  0.50000E+00    2      935    -4    -5     T
      300  0.1190000E+03  0.50000E+00    2      939    -4    -5     T
      302  0.1200000E+03  0.50000E+00    2      943    -4    -5     T
      304  0.1210000E+03  0.50000E+00    4      949    -4    -5     T
      306  0.1220000E+03  0.50000E+00    2      954    -4    -5     T
      308  0.1230000E+03  0.50000E+00    2      958    -4    -5     T
      310  0.1240000E+03  0.50000E+00    2      962    -4    -5     T
      312  0.1250000E+03  0.50000E+00    2      966    -4    -5     T
      314  0.1260000E+03  0.50000E+00    2      970    -4    -5     T
      316  0.1270000E+03  0.50000E+00    3      975    -4    -5     T
      318  0.1280000E+03  0.50000E+00    2      979    -4    -5     T
      320  0.1290000E+03  0.50000E+00    2      983    -4    -5     T
      322  0.1300000E+03  0.50000E+00    2      987    -4    -5     T
      324  0.1310000E+03  0.50000E+00    2      991    -4    -5     T
      326  0.1320000E+03  0.50000E+00    2      995    -4    -5     T
      328  0.1330000E+03  0.50000E+00    2      999    -4    -5     T
      330  0.1340000E+03  0.50000E+00    2     1003    -4    -5     T
      332  0.1350000E+03  0.50000E+00    2     1007    -4    -5     T
      334  0.1360000E+03  0.50000E+00    2     1011    -4    -5     T
      336  0.1370000E+03  0.50000E+00    3     1016    -4    -5     T
      338  0.1380000E+03  0.50000E+00    2     1020    -4    -5     T
      340  0.1390000E+03  0.50000E+00    2     1024    -4    -5     T
      342  0.1400000E+03  0.50000E+00    2     1028    -4    -5     T
      344  0.1410000E+03  0.50000E+00    2     1032    -4    -5     T
      346  0.1420000E+03  0.50000E+00    2     1036    -4    -5     T
      348  0.1430000E+03  0.50000E+00    2     1040    -4    -5     T
      350  0.1440000E+03  0.50000E+00    2     1044    -4    -5     T
      352  0.1450000E+03  0.50000E+00    2     1048    -4    -5     T
      354  0.1460000E+03  0.50000E+00    2     1052    -4    -5     T
      356  0.1470000E+03  0.50000E+00    2     1056    -4    -5     T
      358  0.1480000E+03  0.50000E+00    2     1060    -4    -5     T
      360  0.1490000E+03  0.50000E+00    2     1064    -4    -5     T
      362  0.1500000E+03  0.50000E+00    2     1068    -4    -5     T
      364  0.1510000E+03  0.50000E+00    2     1072    -4    -5     T
      366  0.1520000E+03  0.50000E+00    2     1076    -4    -5     T
      368  0.1530000E+03  0.50000E+00    2     1080    -4    -5     T
      370  0.1540000E+03  0.50000E+00    2     1084    -4    -5     T
      372  0.1550000E+03  0.50000E+00    2     1088    -4    -5     T
      374  0.1560000E+03  0.50000E+00    2     1092    -4    -5     T
      376  0.1570000E+03  0.50000E+00    2     1096    -4    -5     T
      378  0.1580000E+03  0.50000E+00    2     1100    -4    -5     T
      380  0.1590000E+03  0.50000E+00    2     1104    -4    -5     T
      382  0.1600000E+03  0.50000E+00    2     1108    -4    -5     T
      384  0.1610000E+03  0.50000E+00    2     1112    -4    -5     T
      386  0.1620000E+03  0.50000E+00    2     1116    -4    -5     T
      388  0.1630000E+03  0.50000E+00    2     1120    -4    -5     T
      390  0.1640000E+03  0.50000E+00    2     1124    -4    -5     T
      392  0.1650000E+03  0.50000E+00    2     1128    -4    -5     T
      394  0.1660000E+03  0.50000E+00    2     1132    -4    -5     T
      396  0.1670000E+03  0.50000E+00    2     1136    -4    -5     T
      398  0.1680000E+03  0.50000E+00    2     1140    -4    -5     T
      400  0.1690000E+03  0.50000E+00    2     1144    -4    -5     T
      402  0.1700000E+03  0.50000E+00    2     1148    -4    -5     T
      404  0.1710000E+03  0.50000E+00    2     1152    -4    -5     T
      406  0.1720000E+03  0.50000E+00    2     1156    -4    -5     T
      408  0.1730000E+03  0.50000E+00    2     1160    -4    -5     T
      410  0.1740000E+03  0.50000E+00    2     1164    -4    -5     T
      412  0.1750000E+03  0.50000E+00    2     1168    -4    -5     T
      463  0.1760000E+03  0.29515E-01    4     1412    -4    -5     T
      484  0.1770000E+03  0.70856E-01    5     1497    -4    -5     T
      500  0.1780000E+03  0.61510E-01    4     1561    -4    -5     T
      510  0.1790000E+03  0.13947E+00    3     1596    -4    -5     T
      522  0.1800000E+03  0.83346E-01    4     1653    -4    -5     T
      531  0.1810000E+03  0.14564E+00    3     1688    -4    -5     T
      541  0.1820000E+03  0.12000E+00    4     1735    -4    -5     T
      548  0.1830000E+03  0.16667E+00    3     1762    -4    -5     T
