"Date","VWC_6in","VWC_12in","VWC_24in","VWC_36in"
2025-04-12,0.269320645,0.24113971,0.179405425,0.218660905
2025-04-13,0.2691751825,0.23929072,0.1808503525,0.2211079075
2025-04-14,0.269437015,0.240473815,0.18172636,0.22205503
2025-04-15,0.26924953,0.2405158375,0.18216598,0.22237828
2025-04-16,0.2689618375,0.2401020775,0.18255388,0.2224720225
2025-04-17,0.26990896,0.2405804875,0.18296764,0.222539905
2025-04-18,0.270083515,0.241288405,0.1831842175,0.2225819275
2025-04-19,0.26965036,0.24142417,0.1833814,0.2226789025
2025-04-20,0.26930125,0.2409199,0.1835850475,0.22270153
2025-04-21,0.2691493225,0.240771205,0.1838048575,0.222759715
2025-04-22,0.2692527625,0.24071302,0.1840182025,0.22280497
2025-04-23,0.26927539,0.240913435,0.18418306,0.22284376
2025-04-24,0.26896507,0.2407227175,0.18436408,0.2228922475
2025-04-25,0.2686838425,0.2404123975,0.184538635,0.2229116425
2025-04-26,0.2683282675,0.24002773,0.1847164225,0.222889015
2025-04-27,0.2681989675,0.2396689225,0.1849685575,0.2228340625
2025-04-28,0.268144015,0.2395719475,0.1852788775,0.2227888075
2025-04-29,0.2677011625,0.23922607,0.1853952475,0.222772645
2025-04-30,0.26760742,0.239051515,0.1855698025,0.22274032
2025-05-01,0.2676817675,0.2389383775,0.1857508225,0.2227306225
2025-05-02,0.26756863,0.23877352,0.18591568,0.222733855
2025-05-03,0.267562165,0.239116165,0.186012655,0.22276618
2025-05-04,0.26715487,0.2389804,0.1860676075,0.222682135
2025-05-05,0.2672680075,0.2391323275,0.18620014,0.2226886
2025-05-06,0.2676041875,0.2396430625,0.1863197425,0.2227112275
2025-05-07,0.2670611275,0.2399145925,0.186335905,0.222591625
2025-05-08,0.269566315,0.24064837,0.186413485,0.2224396975
2025-05-09,0.269139625,0.2403218875,0.1866042025,0.22215847
2025-05-10,0.26842201,0.23921314,0.186827245,0.222307165
2025-05-11,0.2673649825,0.2391064675,0.1869015925,0.22231363
2025-05-12,0.26650837,0.23905798,0.18698887,0.2222457475
2025-05-13,0.2659362175,0.239129095,0.18707938,0.2222263525
2025-05-14,0.26590066,0.239335975,0.187163425,0.222216655
2025-05-15,0.26586187,0.2394879025,0.1872571675,0.2222263525
2025-05-16,0.2657939875,0.2398305475,0.1872959575,0.2221940275
2025-05-17,0.2655159925,0.239762665,0.18731212,0.222216655
2025-05-18,0.26524123,0.2393392075,0.1874252575,0.2221423075
2025-05-19,0.2652961825,0.2394814375,0.18753193,0.2222004925
2025-05-20,0.265092535,0.23957518,0.1875286975,0.22219726
2025-05-21,0.2650763725,0.23951053,0.187577185,0.2221810975
2025-05-22,0.26500849,0.2394879025,0.18762244,0.2222392825
2025-05-23,0.2649018175,0.239594575,0.187667695,0.222307165
2025-05-24,0.2648307025,0.23974327,0.1878519475,0.2223427225
2025-05-25,0.2646820075,0.2393456725,0.1880006425,0.2223556525
2025-05-26,0.2645656375,0.238922215,0.1881234775,0.2223103975
2025-05-27,0.264523615,0.2382207625,0.1882204525,0.22228777
2025-05-28,0.26441371,0.237215455,0.1881364075,0.2223362575
2025-05-29,0.2643135025,0.2367014875,0.1883109625,0.22240414
2025-05-30,0.26405167,0.2362877275,0.1882527775,0.2224978825
2025-05-31,0.263760745,0.2358675025,0.18826894,0.22262395
2025-06-01,0.2634665875,0.235482835,0.188404705,0.22293427
2025-06-02,0.2636088175,0.235534555,0.1885243075,0.223651885
2025-06-03,0.2638932775,0.2364816775,0.18857926,0.224893165
2025-06-04,0.2638350925,0.2373285925,0.18864391,0.2262734425
2025-06-05,0.2636023525,0.2373609175,0.18870856,0.2270815675
2025-06-06,0.2658198475,0.2368889725,0.1888798825,0.227530885
2025-06-07,0.280259425,0.237823165,0.18909646,0.227996365
2025-06-08,0.2813229175,0.2386215925,0.1893841525,0.2286784225
2025-06-09,0.2924944375,0.24871669,0.189865795,0.2298356575
2025-06-10,0.287526085,0.250921255,0.1903151125,0.230996125
2025-06-11,0.28457158,0.25024243,0.19108768,0.2329841125
2025-06-12,0.2823249925,0.2492500525,0.192154405,0.23467471
2025-06-13,0.28283896,0.24879427,0.19386763,0.23607115
2025-06-14,0.2823961075,0.2483708125,0.19680274,0.241365985
2025-06-15,0.280543885,0.24750127,0.2039110075,0.2419510675
2025-06-16,0.27995557,0.24702286,0.2088244075,0.242154715
2025-06-17,0.287991565,0.25303531,0.2122056025,0.2426040325
2025-06-18,0.28715758,0.25370767,0.21537022,0.243357205
2025-06-19,0.3005304325,0.2739851425,0.2295899875,0.2488492225
2025-06-20,0.29169601,0.2683153375,0.23332999,0.251089345
2025-06-21,0.3014226025,0.272385055,0.23555395,0.262377235
2025-06-22,0.295413385,0.2720585725,0.23974327,0.2789341
2025-06-23,0.360321985,0.366968005,0.36003106,0.3010023775
2025-06-24,0.3425141425,0.3584891575,0.3725117425,0.3012739075
2025-06-25,0.3082755025,0.2933672125,0.3235070425,0.30172969
2025-06-26,0.3026186275,0.28258036,0.272915185,0.301658575
2025-06-27,0.29964796,0.278061325,0.264394315,0.2957431
2025-06-28,0.296615875,0.27506803,0.2583980275,0.26606875
2025-06-29,0.2935546975,0.2727277,0.2532712825,0.2572407925
2025-06-30,0.28952377,0.2703712075,0.2490302425,0.2537044375
2025-07-01,0.2844261175,0.2720262475,0.2457524875,0.251619475
2025-07-02,0.2773986625,0.2715736975,0.2436384325,0.2506270975
2025-07-03,0.272074735,0.2698216825,0.2422484575,0.25034587
2025-07-04,0.265338205,0.26701264,0.24266545,0.2512089475
2025-07-05,0.2635183075,0.2661818875,0.243118,0.251761705
2025-07-06,0.262118635,0.265144255,0.24416533,0.2535363475
2025-07-07,0.2899795525,0.296667595,0.274259905,0.2688390025
2025-07-08,0.3283170025,0.327919405,0.32952919,0.29130811
2025-07-09,0.3182251375,0.304050625,0.2895334675,0.2915052925
2025-07-10,0.3107192725,0.2952743875,0.2752005625,0.2909363725
2025-07-11,0.3212830825,0.3046227775,0.29214856,0.2912337625
2025-07-12,0.317161645,0.302408515,0.2991049,0.2914665025
2025-07-13,0.3184643425,0.3098658925,0.300249205,0.29152792
2025-07-14,0.3194664175,0.3075190975,0.3104606725,0.2926108075
2025-07-15,0.328475395,0.318803755,0.30413467,0.29274334
2025-07-16,0.3450936775,0.369140245,0.3639520825,0.2945890975
2025-07-17,0.3282006325,0.32857237,0.36584956,0.294159175
2025-07-18,0.325760095,0.32387878,0.3673397425,0.29451475
2025-07-19,0.3202810075,0.31163407,0.3678116875,0.2944921225
2025-07-20,0.3173911525,0.3068079475,0.3651481075,0.29408806
2025-07-21,0.31493122,0.30286753,0.3125521,0.29368723
2025-07-22,0.31477606,0.3021854725,0.3105059275,0.293383375
