,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h37,theta37,temp37
0,2023-01-01,0.0,0.07112,-6.275,4.775,-1.26458333333333,0.0,0.0,-1.3386e-08,0.0,-7.997e-06,0.0,0.0,-6.2591e-09,0.0,-8.0019e-06,-15.016,-7.5503,-15.008,0.0,0.0,32.933,0.0,0.0,0.0,-15.0,0.445,20.0
1,2023-01-02,0.0,0.03556,-9.8,2.45,-4.71354166666667,0.03556,0.0,0.03556,0.0,-7.9572e-06,0.03556,0.0,0.03556,0.0,-1.5974e-05,-51.388,-7.551,-15.016,0.0,0.0,32.898,0.0,0.03556,0.0,-15.0,0.445,20.0
2,2023-01-03,0.0,0.10668,-8.45,2.175,-3.865625,0.10668,0.0,0.10668,0.0,-7.9572e-06,0.14224,0.0,0.14224,0.0,-2.3931e-05,-549.31,-7.5577,-15.024,0.0,0.0,32.791,0.0,0.14224,0.0,-15.0,0.445,20.0
3,2023-01-04,0.0,0.0762,-7.55,4.15,-2.59895833333333,0.0762,0.0,0.0091823,0.0,-8.0109e-06,0.21844,0.0,0.21145,0.0,-3.1874e-05,-1000000.0,-7.6061,-15.032,0.0,0.0,32.722,0.0,0.21145,0.0,-15.0,0.445,20.0
4,2023-01-05,0.0,0.03302,-11.3,1.75,-4.66666666666667,0.03302,0.0,0.0012602,0.0,-7.8876e-06,0.25146,0.0,0.21323,0.0,-3.9801e-05,-1000000.0,-7.6117,-15.04,0.0,0.0,32.72,0.0,0.21323,0.0,-15.0,0.445,20.0
5,2023-01-06,0.4267,0.04826,-2.2,4.325,1.20104166666667,0.04826,0.0,0.0011412,0.0,-7.9125e-06,0.29972,0.0,0.21441,0.0,-4.7714e-05,-1000000.0,-7.6156,-15.049,0.0,0.0,32.719,0.0,0.21441,0.0,-15.0,0.445,20.0
6,2023-01-07,0.0,0.127,-1.55,6.8,2.52291666666667,0.127,0.0,0.0010351,0.0,-7.8678e-06,0.42672,0.0,0.21547,0.0,-5.5596e-05,-1000000.0,-7.6191,-15.057,0.0,0.0,32.718,0.0,0.21547,0.0,-15.0,0.445,20.0
7,2023-01-08,0.0,0.18542,0.45,7.175,3.51770833333333,0.18542,0.0,0.00093979,0.0,-7.8678e-06,0.61214,0.0,0.21643,0.0,-6.3464e-05,-1000000.0,-7.6222,-15.065,0.0,0.0,32.717,0.0,0.21643,0.0,-15.0,0.445,20.0
8,2023-01-09,0.0,0.1778,-0.6,5.775,2.91770833333333,0.1778,0.0,0.00085408,0.0,-7.838e-06,0.78994,0.0,0.21731,0.0,-7.1317e-05,-1000000.0,-7.6251,-15.073,0.0,0.0,32.716,0.0,0.21731,0.0,-15.0,0.445,20.0
9,2023-01-10,0.0,0.09652,-7.15,7.1,0.789583333333333,0.09652,0.0,0.000777,0.0,-7.838e-06,0.88646,0.0,0.2181,0.0,-7.9155e-05,-1000000.0,-7.6277,-15.081,0.0,0.0,32.715,0.0,0.2181,0.0,-15.0,0.445,20.0
