CalibrateYN,StartDepth,EndDepth,thetar,thetas,alpha,n,ksat,l,thrfr,thsfr,alphafr,nfr,ksfr,lfr,w,beta,gamma,a,ka
Y,0,150,0.0691,0.4234,0.0061,1.5783,14.6,0.5,0.001,0.3,0.035,1.5,100,0.5,0.05,2,0.4,3,0.015
N,150,185,0.05,0.37,0.0353,3.18,642.98,0.5,0.0103,0.26,0.0336,1.397,128.08,0.5,0.05,2.22,0.4,4.539,1.97546
