,Date,Precip,ET_cm,MinTemp,MaxTemp,AvgTemp,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),Cum(WTrans),h37,theta37,temp37
0,2023-01-01,0.0,0.07112,-6.275,4.775,-1.26458333333333,0.0,0.0,2.5002e-08,0.0,-5.564e-06,0.0,0.0,2.4486e-08,0.0,-5.5581e-06,-15.009,-7.5503,-15.005,0.0,0.0,24.685,0.0,5.6692e-08,0.0,-15.0,0.3336,20.0
1,2023-01-02,0.0,0.03556,-9.8,2.45,-4.71354166666667,0.03556,0.0,0.03556,0.0,-5.5432e-06,0.03556,0.0,0.03556,0.0,-1.1101e-05,-47.004,-7.5506,-15.009,0.0,0.0,24.65,0.0,0.03556,0.0,-15.0,0.3336,20.0
2,2023-01-03,0.0,0.10668,-8.45,2.175,-3.865625,0.10668,0.0,0.10668,0.0,-5.5432e-06,0.14224,0.0,0.14224,0.0,-1.6645e-05,-6497.1,-7.5676,-15.014,0.0,0.0,24.543,0.0,0.14224,0.0,-15.0,0.3336,20.0
3,2023-01-04,0.0,0.0762,-7.55,4.15,-2.59895833333333,0.0762,0.0,0.00084888,0.0,-5.5193e-06,0.21844,0.0,0.1622,0.0,-2.2188e-05,-1000000.0,-7.6084,-15.018,0.0,0.0,24.523,0.0,0.1622,0.0,-15.0,0.3336,20.0
4,2023-01-05,0.0,0.03302,-11.3,1.75,-4.66666666666667,0.03302,0.0,0.00052442,0.0,-5.5321e-06,0.25146,0.0,0.16273,0.0,-2.7716e-05,-1000000.0,-7.6099,-15.023,0.0,0.0,24.523,0.0,0.16273,0.0,-15.0,0.3336,20.0
5,2023-01-06,0.4267,0.04826,-2.2,4.325,1.20104166666667,0.04826,0.0,0.00050723,0.0,-5.5432e-06,0.29972,0.0,0.16324,0.0,-3.3259e-05,-1000000.0,-7.6113,-15.027,0.0,0.0,24.522,0.0,0.16324,0.0,-15.0,0.3336,20.0
6,2023-01-07,0.0,0.127,-1.55,6.8,2.52291666666667,0.127,0.0,0.00049069,0.0,-5.5134e-06,0.42672,0.0,0.16374,0.0,-3.8773e-05,-1000000.0,-7.6127,-15.032,0.0,0.0,24.522,0.0,0.16374,0.0,-15.0,0.3336,20.0
7,2023-01-08,0.0,0.18542,0.45,7.175,3.51770833333333,0.18542,0.0,0.00047476,0.0,-5.5134e-06,0.61214,0.0,0.16422,0.0,-4.4286e-05,-1000000.0,-7.6141,-15.036,0.0,0.0,24.521,0.0,0.16422,0.0,-15.0,0.3336,20.0
8,2023-01-09,0.0,0.1778,-0.6,5.775,2.91770833333333,0.1778,0.0,0.00045942,0.0,-5.5134e-06,0.78994,0.0,0.16468,0.0,-4.98e-05,-1000000.0,-7.6154,-15.041,0.0,0.0,24.521,0.0,0.16468,0.0,-15.0,0.3336,20.0
9,2023-01-10,0.0,0.09652,-7.15,7.1,0.789583333333333,0.09652,0.0,0.00044464,0.0,-5.5134e-06,0.88646,0.0,0.16513,0.0,-5.5313e-05,-1000000.0,-7.6166,-15.046,0.0,0.0,24.52,0.0,0.16513,0.0,-15.0,0.3336,20.0
10,2023-01-11,0.0017,0.04572,-7.9,3.25,-3.36770833333333,0.04572,0.0,0.00043041,0.0,-5.4836e-06,0.93218,0.0,0.16556,0.0,-6.0812e-05,-1000000.0,-7.6178,-15.05,0.0,0.0,24.52,0.0,0.16556,0.0,-15.0,0.3336,20.0
11,2023-01-12,0.0,0.19304,-2.55,7.25,3.34895833333333,0.19304,0.0,0.0004167,0.0,-5.4836e-06,1.1252,0.0,0.16598,0.0,-6.6295e-05,-1000000.0,-7.619,-15.055,0.0,0.0,24.519,0.0,0.16598,0.0,-15.0,0.3336,20.0
12,2023-01-13,0.0,0.23114,5.425,10.05,7.59479166666667,0.23114,0.0,0.0004035,0.0,-5.4836e-06,1.3564,0.0,0.16639,0.0,-7.1779e-05,-1000000.0,-7.6202,-15.059,0.0,0.0,24.519,0.0,0.16639,0.0,-15.0,0.3336,20.0
13,2023-01-14,0.0,0.17272,0.625,9.625,5.56979166666667,0.17272,0.0,0.00039078,0.0,-5.4836e-06,1.5291,0.0,0.16678,0.0,-7.7263e-05,-1000000.0,-7.6213,-15.064,0.0,0.0,24.519,0.0,0.16678,0.0,-15.0,0.3336,20.0
14,2023-01-15,0.0,0.03302,-0.75,4.825,1.30833333333333,0.03302,0.0,0.00037853,0.0,-5.4836e-06,1.5621,0.0,0.16716,0.0,-8.2746e-05,-1000000.0,-7.6223,-15.068,0.0,0.0,24.518,0.0,0.16716,0.0,-15.0,0.3336,20.0
15,2023-01-16,0.068,0.02032,-1.675,3.35,0.201041666666667,0.02032,0.0,0.00036672,0.0,-5.4538e-06,1.5824,0.0,0.16753,0.0,-8.82e-05,-1000000.0,-7.6234,-15.073,0.0,0.0,24.518,0.0,0.16753,0.0,-15.0,0.3336,20.0
16,2023-01-17,0.0323,0.04318,-2.025,4.625,0.527083333333333,0.04318,0.0,0.00035535,0.0,-5.4538e-06,1.6256,0.0,0.16789,0.0,-9.3654e-05,-1000000.0,-7.6244,-15.077,0.0,0.0,24.518,0.0,0.16789,0.0,-15.0,0.3336,20.0
17,2023-01-18,0.0,0.16002,-3.125,5.925,0.075,0.16002,0.0,0.00034438,0.0,-5.4538e-06,1.7856,0.0,0.16824,0.0,-9.9108e-05,-1000000.0,-7.6254,-15.082,0.0,0.0,24.517,0.0,0.16824,0.0,-15.0,0.3336,20.0
18,2023-01-19,0.0,0.10668,-1.75,4.525,0.377083333333333,0.10668,0.0,0.00033382,0.0,-5.4538e-06,1.8923,0.0,0.16858,0.0,-0.00010456,-1000000.0,-7.6263,-15.086,0.0,0.0,24.517,0.0,0.16858,0.0,-15.0,0.3336,20.0
19,2023-01-20,0.0,0.127,-3.55,4.375,-1.03020833333333,0.127,0.0,0.00032364,0.0,-5.424e-06,2.0193,0.0,0.1689,0.0,-0.00011,-1000000.0,-7.6272,-15.09,0.0,0.0,24.516,0.0,0.1689,0.0,-15.0,0.3336,20.0
20,2023-01-21,0.0,0.18288,-3.325,5.875,0.444791666666667,0.18288,0.0,0.00031382,0.0,-5.424e-06,2.2022,0.0,0.16922,0.0,-0.00011542,-1000000.0,-7.6281,-15.095,0.0,0.0,24.516,0.0,0.16922,0.0,-15.0,0.3336,20.0
21,2023-01-22,0.0,0.07874,-3.65,2.35,-0.75,0.07874,0.0,0.00030437,0.0,-5.424e-06,2.2809,0.0,0.16952,0.0,-0.00012085,-1000000.0,-7.629,-15.099,0.0,0.0,24.516,0.0,0.16952,0.0,-15.0,0.3336,20.0
22,2023-01-23,0.0,0.0889,-6.85,0.225,-3.28854166666667,0.0889,0.0,0.00029525,0.0,-5.424e-06,2.3698,0.0,0.16982,0.0,-0.00012627,-1000000.0,-7.6298,-15.104,0.0,0.0,24.516,0.0,0.16982,0.0,-15.0,0.3336,20.0
23,2023-01-24,0.0,0.08382,-4.75,1.95,-1.86666666666667,0.08382,0.0,0.00028646,0.0,-5.424e-06,2.4536,0.0,0.17011,0.0,-0.0001317,-1000000.0,-7.6306,-15.108,0.0,0.0,24.515,0.0,0.17011,0.0,-15.0,0.3336,20.0
24,2023-01-25,0.0,0.06096,-5.5,2.5,-1.25833333333333,0.06096,0.0,0.00027798,0.0,-5.3942e-06,2.5146,0.0,0.17039,0.0,-0.00013711,-1000000.0,-7.6314,-15.113,0.0,0.0,24.515,0.0,0.17039,0.0,-15.0,0.3336,20.0
