

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    49.00000  0.642239E+01  0.000000E+00  0.642239E+01  0.000000E+00 -0.109579E+00   -444.215    -62.221   -731.843      49
    50.00000  0.658749E+01  0.000000E+00  0.658749E+01  0.000000E+00 -0.109787E+00   -480.133    -64.101   -737.213      50
    51.00000  0.666369E+01  0.000000E+00  0.666369E+01  0.000000E+00 -0.109990E+00   -335.773    -64.031   -742.450      51
    52.00000  0.672973E+01  0.000000E+00  0.672973E+01  0.000000E+00 -0.110187E+00   -290.885    -64.042   -747.544      52
    53.00000  0.675259E+01  0.000000E+00  0.675259E+01  0.000000E+00 -0.110379E+00   -240.385    -63.473   -752.505      53
    54.00000  0.677037E+01  0.000000E+00  0.677037E+01  0.000000E+00 -0.110566E+00   -217.446    -63.082   -757.332      54
    55.00000  0.682625E+01  0.000000E+00  0.682625E+01  0.000000E+00 -0.110748E+00   -221.760    -63.449   -762.033      55
    56.00000  0.701167E+01  0.000000E+00  0.701167E+01  0.000000E+00 -0.110925E+00   -318.980    -66.125   -766.616      56
    57.00000  0.721233E+01  0.000000E+00  0.721233E+01  0.000000E+00 -0.111098E+00   -438.128    -69.401   -771.070      57
    58.00000  0.735965E+01  0.000000E+00  0.735965E+01  0.000000E+00 -0.111266E+00   -440.036    -71.572   -775.863      58
    59.00000  0.741553E+01  0.000000E+00  0.741553E+01  0.000000E+00 -0.111432E+00   -321.871    -71.635   -781.726      59
    60.00000  0.753999E+01  0.000000E+00  0.753999E+01  0.000000E+00 -0.111595E+00   -380.781    -73.396   -787.513      60
    61.00000  0.775843E+01  0.000000E+00  0.775843E+01  0.000000E+00 -0.111756E+00   -787.286    -77.853   -793.217      61
    62.00000  0.791337E+01  0.000000E+00  0.791337E+01  0.000000E+00 -0.111914E+00   -826.280    -80.833   -798.837      62
    63.00000  0.808863E+01  0.000000E+00  0.808863E+01  0.000000E+00 -0.112071E+00  -1395.031    -84.852   -804.376      63
    64.00000  0.812419E+01  0.000000E+00  0.812419E+01  0.000000E+00 -0.112225E+00   -515.117    -83.479   -809.834      64
    65.00000  0.817499E+01  0.000000E+00  0.817499E+01  0.000000E+00 -0.112376E+00   -435.330    -83.196   -815.218      65
    66.00000  0.823595E+01  0.000000E+00  0.823595E+01  0.000000E+00 -0.112526E+00   -414.189    -83.511   -820.517      66
    67.00000  0.827913E+01  0.000000E+00  0.827913E+01  0.000000E+00 -0.112673E+00   -368.114    -83.508   -825.740      67
    68.00000  0.834263E+01  0.000000E+00  0.834263E+01  0.000000E+00 -0.112818E+00   -374.583    -84.134   -830.886      68
    69.00000  0.837057E+01  0.000000E+00  0.837057E+01  0.000000E+00 -0.112961E+00   -325.768    -83.941   -835.958      69
    70.00000  0.842137E+01  0.000000E+00  0.842137E+01  0.000000E+00 -0.113102E+00   -330.831    -84.408   -840.955      70
    71.00000  0.848741E+01  0.000000E+00  0.848741E+01  0.000000E+00 -0.113241E+00   -346.763    -85.314   -845.880      71
    72.00000  0.866013E+01  0.000000E+00  0.866013E+01  0.000000E+00 -0.113378E+00   -633.104    -89.210   -850.733      72
    73.00000  0.888111E+01  0.000000E+00  0.888111E+01  0.000000E+00 -0.113513E+00  -2282.935    -96.115   -855.518      73
    74.00000  0.897509E+01  0.000000E+00  0.897509E+01  0.000000E+00 -0.113646E+00  -1166.646    -97.706   -860.231      74
    75.00000  0.908431E+01  0.000000E+00  0.908431E+01  0.000000E+00 -0.113777E+00  -1342.746   -100.126   -864.880      75
    76.00000  0.921639E+01  0.000000E+00  0.921639E+01  0.000000E+00 -0.113906E+00  -2388.563   -104.233   -869.455      76
    77.00000  0.940943E+01  0.000000E+00  0.940943E+01  0.000000E+00 -0.114033E+00 -26960.982   -117.924   -873.967      77
    78.00000  0.956437E+01  0.000000E+00  0.956437E+01  0.000000E+00 -0.114159E+00-148526.812   -136.393   -878.416      78
    79.00000  0.965073E+01  0.000000E+00  0.965073E+01  0.000000E+00 -0.114282E+00 -42362.051   -131.947   -882.803      79
    80.00000  0.978027E+01  0.000000E+00  0.978027E+01  0.000000E+00 -0.114404E+00-339682.969   -154.328   -887.124      80
    81.00000  0.991997E+01  0.000000E+00  0.990010E+01  0.000000E+00 -0.114524E+00***********   -181.662   -891.386      81
    82.00000  0.101232E+02  0.000000E+00  0.999259E+01  0.000000E+00 -0.114643E+00***********   -186.596   -895.592      82
    83.00000  0.102781E+02  0.000000E+00  0.100779E+02  0.000000E+00 -0.114760E+00***********   -189.034   -899.724      83
    84.00000  0.103899E+02  0.000000E+00  0.101598E+02  0.000000E+00 -0.114875E+00***********   -192.503   -903.806      84
    85.00000  0.104991E+02  0.000000E+00  0.102380E+02  0.000000E+00 -0.114988E+00***********   -195.004   -907.823      85
    86.00000  0.106693E+02  0.000000E+00  0.103136E+02  0.000000E+00 -0.115100E+00***********   -197.496   -911.785      86
    87.00000  0.107912E+02  0.000000E+00  0.103871E+02  0.000000E+00 -0.115210E+00***********   -199.946   -915.688      87
    88.00000  0.109131E+02  0.000000E+00  0.104580E+02  0.000000E+00 -0.115318E+00***********   -202.158   -919.530      88
    89.00000  0.109944E+02  0.000000E+00  0.105259E+02  0.000000E+00 -0.115425E+00***********   -203.439   -923.310      89
    90.00000  0.111900E+02  0.000000E+00  0.105940E+02  0.000000E+00 -0.115530E+00***********   -206.084   -927.040      90
    91.00000  0.111900E+02  0.254000E+00  0.105940E+02  0.760827E-01 -0.115634E+00 -11917.894  -1151.031   -930.716      91
    92.00000  0.111900E+02  0.485140E+00  0.105940E+02  0.181970E+00 -0.115736E+00  -4265.435  -1146.512   -934.340      92
    93.00000  0.111900E+02  0.594360E+00  0.105940E+02  0.229741E+00 -0.115836E+00  -2710.567  -1117.050   -937.905      93
    94.00000  0.111900E+02  0.660400E+00  0.105940E+02  0.261983E+00 -0.115935E+00  -2069.473  -1029.302   -941.418      94
    95.00000  0.111900E+02  0.822960E+00  0.105940E+02  0.342906E+00 -0.116033E+00  -1721.498  -1004.953   -944.880      95
    96.00000  0.111900E+02  0.115570E+01  0.105940E+02  0.453620E+00 -0.116129E+00  -1575.624  -1064.838   -948.291      96
    97.00000  0.111900E+02  0.152908E+01  0.105940E+02  0.548243E+00 -0.116224E+00  -1552.442  -1136.236   -951.652      97
    98.00000  0.111900E+02  0.190754E+01  0.105940E+02  0.629941E+00 -0.116318E+00  -1556.821  -1180.096   -954.964      98
    99.00000  0.111900E+02  0.236474E+01  0.105940E+02  0.708189E+00 -0.116410E+00  -1566.289  -1212.301   -958.229      99
   100.00000  0.111900E+02  0.291338E+01  0.105940E+02  0.785249E+00 -0.116500E+00  -1574.077  -1242.983   -961.446     100
   101.00000  0.111900E+02  0.338582E+01  0.105940E+02  0.850727E+00 -0.116590E+00  -1580.187  -1260.567   -964.617     101
   102.00000  0.111900E+02  0.356870E+01  0.105940E+02  0.893000E+00 -0.116678E+00  -1583.314  -1244.966   -967.742     102
   103.00000  0.111900E+02  0.366522E+01  0.105940E+02  0.922633E+00 -0.116765E+00  -1579.262  -1199.095   -970.819     103
   104.00000  0.111900E+02  0.384556E+01  0.105940E+02  0.978099E+00 -0.116850E+00  -1570.929  -1184.698   -973.854     104
   105.00000  0.111900E+02  0.413766E+01  0.105940E+02  0.104594E+01 -0.116935E+00  -1569.965  -1212.792   -976.843     105
   106.00000  0.111900E+02  0.454406E+01  0.105940E+02  0.111343E+01 -0.117018E+00  -1574.470  -1249.154   -980.858     106
   107.00000  0.111900E+02  0.489458E+01  0.105940E+02  0.117077E+01 -0.117101E+00  -1580.302  -1270.304   -984.901     107
