

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   208.00000 -0.139496E+02  0.403250E+02 -0.145456E+02  0.182277E+02 -0.122825E+00   -144.370   -105.750  -1276.547     208
   209.00000 -0.139496E+02  0.406857E+02 -0.145456E+02  0.185884E+02 -0.122864E+00   -153.897   -113.178  -1279.163     209
   210.00000 -0.139496E+02  0.410794E+02 -0.145456E+02  0.189821E+02 -0.122903E+00   -169.197   -123.189  -1281.767     210
   211.00000 -0.139496E+02  0.414706E+02 -0.145456E+02  0.193732E+02 -0.122941E+00   -188.059   -135.014  -1284.361     211
   212.00000 -0.139496E+02  0.418846E+02 -0.145456E+02  0.197872E+02 -0.122979E+00   -213.067   -149.223  -1286.942     212
   213.00000 -0.139496E+02  0.423240E+02 -0.145456E+02  0.202267E+02 -0.123018E+00   -245.898   -167.076  -1289.513     213
   214.00000 -0.139496E+02  0.427609E+02 -0.145456E+02  0.206635E+02 -0.123056E+00   -291.704   -189.129  -1292.072     214
   215.00000 -0.139496E+02  0.431571E+02 -0.145456E+02  0.210598E+02 -0.123093E+00   -346.360   -212.899  -1294.620     215
   216.00000 -0.139496E+02  0.435153E+02 -0.145456E+02  0.214179E+02 -0.123131E+00   -403.873   -236.440  -1297.157     216
   217.00000 -0.139496E+02  0.437108E+02 -0.145456E+02  0.216135E+02 -0.123168E+00   -442.131   -249.972  -1299.683     217
   218.00000 -0.139496E+02  0.438607E+02 -0.145456E+02  0.217633E+02 -0.123206E+00   -439.323   -250.172  -1302.197     218
   219.00000 -0.139496E+02  0.442011E+02 -0.145456E+02  0.221037E+02 -0.123243E+00   -460.815   -263.914  -1304.701     219
   220.00000 -0.139496E+02  0.445567E+02 -0.145456E+02  0.224593E+02 -0.123280E+00   -545.076   -297.516  -1307.194     220
   221.00000 -0.139496E+02  0.449631E+02 -0.145456E+02  0.228617E+02 -0.123317E+00   -682.532   -347.341  -1309.675     221
   222.00000 -0.139496E+02  0.454253E+02 -0.145456E+02  0.232832E+02 -0.123353E+00   -887.248   -422.862  -1312.146     222
   223.00000 -0.139496E+02  0.458241E+02 -0.145456E+02  0.236162E+02 -0.123390E+00  -1113.619   -506.514  -1314.606     223
   224.00000 -0.139496E+02  0.460934E+02 -0.145456E+02  0.238293E+02 -0.123426E+00  -1284.536   -562.714  -1317.056     224
   225.00000 -0.139496E+02  0.464490E+02 -0.145456E+02  0.240825E+02 -0.123462E+00  -1404.641   -607.920  -1319.494     225
   226.00000 -0.139496E+02  0.468604E+02 -0.145456E+02  0.243443E+02 -0.123498E+00  -1485.607   -661.536  -1321.922     226
   227.00000 -0.139496E+02  0.472973E+02 -0.145456E+02  0.245936E+02 -0.123534E+00  -1536.222   -714.544  -1324.339     227
   228.00000 -0.139496E+02  0.476199E+02 -0.145456E+02  0.247708E+02 -0.123570E+00  -1569.111   -751.376  -1326.746     228
   229.00000 -0.139496E+02  0.480695E+02 -0.145456E+02  0.249918E+02 -0.123605E+00  -1586.033   -785.684  -1329.142     229
   230.00000 -0.139496E+02  0.486232E+02 -0.145456E+02  0.252330E+02 -0.123641E+00  -1594.975   -835.185  -1331.528     230
   231.00000 -0.139496E+02  0.489229E+02 -0.145456E+02  0.253636E+02 -0.123676E+00  -1598.653   -864.767  -1333.903     231
   232.00000 -0.139496E+02  0.491744E+02 -0.145456E+02  0.254741E+02 -0.123711E+00  -1599.699   -868.848  -1336.268     232
   233.00000 -0.139496E+02  0.492938E+02 -0.145456E+02  0.255305E+02 -0.123746E+00  -1599.781   -857.484  -1338.623     233
   234.00000 -0.139496E+02  0.496544E+02 -0.145456E+02  0.256892E+02 -0.123781E+00  -1599.587   -860.813  -1340.967     234
   235.00000 -0.139496E+02  0.500583E+02 -0.145456E+02  0.258541E+02 -0.123815E+00  -1600.065   -889.908  -1343.300     235
   236.00000 -0.139496E+02  0.504215E+02 -0.145456E+02  0.259957E+02 -0.123850E+00  -1600.571   -917.280  -1345.624     236
   237.00000 -0.139496E+02  0.507035E+02 -0.145456E+02  0.261051E+02 -0.123884E+00  -1600.880   -933.052  -1347.938     237
   238.00000 -0.139496E+02  0.510718E+02 -0.145456E+02  0.262380E+02 -0.123918E+00  -1601.069   -950.248  -1350.242     238
   239.00000 -0.139496E+02  0.513918E+02 -0.145456E+02  0.263510E+02 -0.123952E+00  -1601.310   -967.931  -1352.535     239
   240.00000 -0.139496E+02  0.516915E+02 -0.145456E+02  0.264547E+02 -0.123986E+00  -1601.533   -980.397  -1354.818     240
   241.00000 -0.139496E+02  0.520700E+02 -0.145456E+02  0.265764E+02 -0.124020E+00  -1601.733   -997.292  -1357.091     241
   242.00000 -0.139496E+02  0.525348E+02 -0.145456E+02  0.267101E+02 -0.124053E+00  -1601.956  -1022.719  -1359.354     242
   243.00000 -0.139496E+02  0.529107E+02 -0.145456E+02  0.268165E+02 -0.124087E+00  -1602.215  -1044.210  -1361.608     243
   244.00000 -0.139496E+02  0.531927E+02 -0.145456E+02  0.268760E+02 -0.124120E+00  -1602.471   -268.389  -1363.852     244
   245.00000 -0.139496E+02  0.536219E+02 -0.145456E+02  0.315656E+02 -0.124153E+00  -1602.753   -385.958  -1366.085     245
   246.00000 -0.139496E+02  0.539928E+02 -0.145456E+02  0.327378E+02 -0.124186E+00  -1603.222   -632.908  -1368.309     246
   247.00000 -0.139496E+02  0.541655E+02 -0.145456E+02  0.330307E+02 -0.124219E+00  -1603.681   -753.187  -1370.524     247
   248.00000 -0.139496E+02  0.544398E+02 -0.145456E+02  0.331036E+02 -0.124252E+00  -1604.082   -790.786  -1372.728     248
   249.00000 -0.139496E+02  0.547827E+02 -0.145456E+02  0.331210E+02 -0.124284E+00  -1604.437   -802.626  -1374.923     249
   250.00000 -0.139496E+02  0.550520E+02 -0.145456E+02  0.331211E+02 -0.124316E+00  -1604.759   -804.587  -1377.108     250
   251.00000 -0.139496E+02  0.553060E+02 -0.145456E+02  0.331211E+02 -0.124349E+00  -1605.057   -804.691  -1379.283     251
   252.00000 -0.139496E+02  0.555193E+02 -0.145456E+02  0.331212E+02 -0.124381E+00  -1605.339   -804.705  -1381.449     252
   253.00000 -0.139496E+02  0.557555E+02 -0.145456E+02  0.331212E+02 -0.124413E+00  -1605.607   -804.724  -1383.607     253
   254.00000 -0.139496E+02  0.560070E+02 -0.145456E+02  0.331212E+02 -0.124445E+00  -1605.862   -804.755  -1385.754     254
   255.00000 -0.139496E+02  0.562991E+02 -0.145456E+02  0.331213E+02 -0.124476E+00  -1606.106   -804.792  -1387.892     255
   256.00000 -0.139496E+02  0.565455E+02 -0.145456E+02  0.331213E+02 -0.124508E+00  -1606.341   -804.798  -1390.020     256
   257.00000 -0.139496E+02  0.567639E+02 -0.145456E+02  0.331213E+02 -0.124539E+00  -1606.566   -804.824  -1392.139     257
   258.00000 -0.139496E+02  0.570560E+02 -0.145456E+02  0.331214E+02 -0.124571E+00  -1606.784   -804.844  -1394.249     258
   259.00000 -0.139496E+02  0.573786E+02 -0.145456E+02  0.331214E+02 -0.124602E+00  -1606.996   -804.883  -1396.350     259
   260.00000 -0.139496E+02  0.578409E+02 -0.145456E+02  0.331214E+02 -0.124633E+00  -1607.200   -804.902  -1398.442     260
   261.00000 -0.139496E+02  0.582168E+02 -0.145456E+02  0.331215E+02 -0.124664E+00  -1607.399   -804.954  -1400.523     261
   262.00000 -0.139496E+02  0.584175E+02 -0.145456E+02  0.331215E+02 -0.124694E+00  -1607.591   -804.956  -1402.597     262
   263.00000 -0.139496E+02  0.586003E+02 -0.145456E+02  0.331215E+02 -0.124725E+00  -1607.779   -804.988  -1404.661     263
   264.00000 -0.139496E+02  0.586486E+02 -0.145456E+02  0.331216E+02 -0.124755E+00  -1607.962   -804.995  -1406.716     264
   265.00000 -0.139496E+02  0.586943E+02 -0.145456E+02  0.331216E+02 -0.124786E+00  -1608.140   -805.016  -1408.762     265
   266.00000 -0.139496E+02  0.589305E+02 -0.145456E+02  0.331217E+02 -0.124816E+00  -1608.315   -805.068  -1410.799     266
   267.00000 -0.139496E+02  0.591591E+02 -0.145456E+02  0.331217E+02 -0.124846E+00  -1608.484   -805.071  -1412.827     267
   268.00000 -0.139496E+02  0.593852E+02 -0.145456E+02  0.331217E+02 -0.124876E+00  -1608.651   -805.090  -1414.847     268
   269.00000 -0.139496E+02  0.596748E+02 -0.145456E+02  0.331217E+02 -0.124906E+00  -1608.814   -805.124  -1416.858     269
   270.00000 -0.139496E+02  0.598957E+02 -0.145456E+02  0.331218E+02 -0.124936E+00  -1608.974   -805.153  -1418.859     270
   271.00000 -0.139496E+02  0.601828E+02 -0.145456E+02  0.331218E+02 -0.124965E+00  -1609.130   -805.185  -1420.852     271
   272.00000 -0.139496E+02  0.604139E+02 -0.145456E+02  0.331219E+02 -0.124995E+00  -1609.284   -805.191  -1422.836     272
   273.00000 -0.139496E+02  0.604799E+02 -0.145456E+02  0.331219E+02 -0.125024E+00  -1609.435   -805.212  -1424.811     273
   274.00000 -0.139268E+02  0.604799E+02 -0.145227E+02  0.331219E+02 -0.125053E+00  -2985.418   -809.127  -1426.778     274
   275.00000 -0.137083E+02  0.604799E+02 -0.144096E+02  0.331219E+02 -0.125082E+00***********   -898.545  -1428.738     275
   276.00000 -0.135737E+02  0.604799E+02 -0.143881E+02  0.331219E+02 -0.125111E+00***********   -924.306  -1430.689     276
   277.00000 -0.133832E+02  0.604799E+02 -0.143731E+02  0.331219E+02 -0.125140E+00***********   -942.552  -1432.630     277
   278.00000 -0.132638E+02  0.604799E+02 -0.143613E+02  0.331219E+02 -0.125168E+00***********   -954.775  -1434.562     278
   279.00000 -0.130682E+02  0.604799E+02 -0.143511E+02  0.331219E+02 -0.125197E+00***********   -965.823  -1436.486     279
   280.00000 -0.128803E+02  0.604799E+02 -0.143419E+02  0.331219E+02 -0.125225E+00***********   -976.018  -1438.402     280
   281.00000 -0.126466E+02  0.604799E+02 -0.143336E+02  0.331219E+02 -0.125254E+00***********   -984.332  -1440.309     281
   282.00000 -0.124053E+02  0.604799E+02 -0.143260E+02  0.331219E+02 -0.125282E+00***********   -991.939  -1442.208     282
   283.00000 -0.121945E+02  0.604799E+02 -0.143188E+02  0.331219E+02 -0.125310E+00***********   -999.009  -1444.099     283
   284.00000 -0.120395E+02  0.604799E+02 -0.143122E+02  0.331219E+02 -0.125338E+00***********  -1005.479  -1445.982     284
   285.00000 -0.120192E+02  0.604799E+02 -0.143058E+02  0.331219E+02 -0.125366E+00***********  -1011.478  -1447.856     285
   286.00000 -0.119456E+02  0.604799E+02 -0.142999E+02  0.331219E+02 -0.125393E+00***********  -1017.133  -1449.721     286
   287.00000 -0.118084E+02  0.604799E+02 -0.142942E+02  0.331219E+02 -0.125421E+00***********  -1022.526  -1451.579     287
   288.00000 -0.116306E+02  0.604799E+02 -0.142887E+02  0.331219E+02 -0.125448E+00***********  -1027.668  -1453.430     288
   289.00000 -0.114477E+02  0.604799E+02 -0.142835E+02  0.331219E+02 -0.125476E+00***********  -1032.317  -1455.272     289
   290.00000 -0.111988E+02  0.604799E+02 -0.142785E+02  0.331219E+02 -0.125503E+00***********  -1036.851  -1457.105     290
   291.00000 -0.108356E+02  0.604799E+02 -0.142736E+02  0.331219E+02 -0.125530E+00***********  -1041.331  -1458.931     291
   292.00000 -0.104139E+02  0.604799E+02 -0.142688E+02  0.331219E+02 -0.125557E+00***********  -1045.753  -1460.749     292
   293.00000 -0.101447E+02  0.604799E+02 -0.142642E+02  0.331219E+02 -0.125584E+00***********  -1050.017  -1462.558     293
   294.00000 -0.100355E+02  0.604799E+02 -0.142598E+02  0.331219E+02 -0.125610E+00***********  -1054.055  -1464.360     294
   295.00000 -0.996691E+01  0.604799E+02 -0.142554E+02  0.331219E+02 -0.125637E+00***********  -1057.937  -1466.154     295
   296.00000 -0.993389E+01  0.604799E+02 -0.142512E+02  0.331219E+02 -0.125663E+00***********  -1061.699  -1467.940     296
   297.00000 -0.991103E+01  0.604799E+02 -0.142470E+02  0.331219E+02 -0.125690E+00***********  -1065.326  -1469.718     297
   298.00000 -0.988309E+01  0.604799E+02 -0.142430E+02  0.331219E+02 -0.125716E+00***********  -1068.813  -1471.488     298
   299.00000 -0.985769E+01  0.604799E+02 -0.142390E+02  0.331219E+02 -0.125742E+00***********  -1072.177  -1473.251     299
   300.00000 -0.983483E+01  0.604799E+02 -0.142351E+02  0.331219E+02 -0.125768E+00***********  -1075.445  -1475.006     300
   301.00000 -0.979419E+01  0.604799E+02 -0.142313E+02  0.331219E+02 -0.125794E+00***********  -1078.660  -1476.752     301
   302.00000 -0.972815E+01  0.604799E+02 -0.142276E+02  0.331219E+02 -0.125820E+00***********  -1081.792  -1478.492     302
   303.00000 -0.962655E+01  0.604799E+02 -0.142240E+02  0.331219E+02 -0.125846E+00***********  -1084.857  -1480.224     303
   304.00000 -0.949193E+01  0.604799E+02 -0.142204E+02  0.331219E+02 -0.125871E+00***********  -1087.873  -1481.948     304
   305.00000 -0.933445E+01  0.604799E+02 -0.142169E+02  0.331219E+02 -0.125897E+00***********  -1090.825  -1483.665     305
   306.00000 -0.922269E+01  0.604799E+02 -0.142134E+02  0.331219E+02 -0.125922E+00***********  -1093.716  -1485.374     306
   307.00000 -0.907791E+01  0.604799E+02 -0.142100E+02  0.331219E+02 -0.125947E+00***********  -1096.550  -1487.075     307
   308.00000 -0.888741E+01  0.604799E+02 -0.142067E+02  0.331219E+02 -0.125972E+00***********  -1099.331  -1488.769     308
   309.00000 -0.864865E+01  0.604799E+02 -0.142034E+02  0.331219E+02 -0.125997E+00***********  -1102.061  -1490.456     309
   310.00000 -0.853435E+01  0.604799E+02 -0.142002E+02  0.331219E+02 -0.126022E+00***********  -1104.743  -1492.135     310
   311.00000 -0.833115E+01  0.604799E+02 -0.141970E+02  0.331219E+02 -0.126047E+00***********  -1107.400  -1493.807     311
   312.00000 -0.820161E+01  0.604799E+02 -0.141939E+02  0.331219E+02 -0.126072E+00***********  -1109.976  -1495.472     312
   313.00000 -0.807715E+01  0.604799E+02 -0.141908E+02  0.331219E+02 -0.126096E+00***********  -1112.432  -1497.129     313
   314.00000 -0.792221E+01  0.604799E+02 -0.141878E+02  0.331219E+02 -0.126121E+00***********  -1114.861  -1498.780     314
   315.00000 -0.763265E+01  0.604799E+02 -0.141848E+02  0.331219E+02 -0.126145E+00***********  -1117.283  -1500.423     315
   316.00000 -0.749803E+01  0.604799E+02 -0.141818E+02  0.331219E+02 -0.126169E+00***********  -1119.701  -1502.059     316
   317.00000 -0.724911E+01  0.604799E+02 -0.141789E+02  0.331219E+02 -0.126194E+00***********  -1122.117  -1503.687     317
   318.00000 -0.706369E+01  0.604799E+02 -0.141760E+02  0.331219E+02 -0.126218E+00***********  -1124.563  -1505.309     318
   319.00000 -0.687573E+01  0.604799E+02 -0.141731E+02  0.331219E+02 -0.126242E+00***********  -1127.011  -1506.923     319
   320.00000 -0.677667E+01  0.604799E+02 -0.141703E+02  0.331219E+02 -0.126265E+00***********  -1129.447  -1508.530     320
   321.00000 -0.650235E+01  0.604799E+02 -0.141675E+02  0.331219E+02 -0.126289E+00***********  -1131.863  -1510.131     321
   322.00000 -0.630931E+01  0.604799E+02 -0.141647E+02  0.331219E+02 -0.126313E+00***********  -1134.265  -1511.724     322
   323.00000 -0.612135E+01  0.604799E+02 -0.141620E+02  0.331219E+02 -0.126336E+00***********  -1136.588  -1513.310     323
   324.00000 -0.595625E+01  0.604799E+02 -0.141593E+02  0.331219E+02 -0.126360E+00***********  -1138.833  -1514.889     324
   325.00000 -0.562351E+01  0.604799E+02 -0.141566E+02  0.331219E+02 -0.126383E+00***********  -1141.012  -1516.462     325
   326.00000 -0.547111E+01  0.604799E+02 -0.141540E+02  0.331219E+02 -0.126406E+00***********  -1143.141  -1518.027     326
   327.00000 -0.546095E+01  0.604799E+02 -0.141514E+02  0.331219E+02 -0.126429E+00***********  -1145.229  -1519.586     327
   328.00000 -0.544317E+01  0.604799E+02 -0.141488E+02  0.331219E+02 -0.126452E+00***********  -1147.292  -1521.138     328
   329.00000 -0.538221E+01  0.604799E+02 -0.141462E+02  0.331219E+02 -0.126475E+00***********  -1149.334  -1522.682     329
   330.00000 -0.532379E+01  0.604799E+02 -0.141436E+02  0.331219E+02 -0.126498E+00***********  -1151.353  -1524.221     330
   331.00000 -0.514091E+01  0.604799E+02 -0.141411E+02  0.331219E+02 -0.126521E+00***********  -1153.391  -1525.752     331
   332.00000 -0.485897E+01  0.604799E+02 -0.141386E+02  0.331219E+02 -0.126543E+00***********  -1155.409  -1527.277     332
   333.00000 -0.475229E+01  0.604799E+02 -0.141361E+02  0.331219E+02 -0.126566E+00***********  -1157.392  -1528.795     333
   334.00000 -0.472689E+01  0.604799E+02 -0.141337E+02  0.331219E+02 -0.126588E+00***********  -1159.339  -1530.307     334
   335.00000 -0.461259E+01  0.604799E+02 -0.141312E+02  0.331219E+02 -0.126611E+00***********  -1161.254  -1531.811     335
   336.00000 -0.444749E+01  0.604799E+02 -0.141288E+02  0.331219E+02 -0.126633E+00***********  -1163.136  -1533.310     336
   337.00000 -0.427731E+01  0.604799E+02 -0.141264E+02  0.331219E+02 -0.126655E+00***********  -1164.991  -1534.801     337
   338.00000 -0.411475E+01  0.604799E+02 -0.141240E+02  0.331219E+02 -0.126677E+00***********  -1166.827  -1536.287     338
   339.00000 -0.377693E+01  0.604799E+02 -0.141216E+02  0.331219E+02 -0.126699E+00***********  -1168.644  -1537.765     339
   340.00000 -0.352547E+01  0.604799E+02 -0.141193E+02  0.331219E+02 -0.126721E+00***********  -1170.440  -1539.238     340
   341.00000 -0.343403E+01  0.604799E+02 -0.141169E+02  0.331219E+02 -0.126742E+00***********  -1172.217  -1540.703     341
   342.00000 -0.340101E+01  0.604799E+02 -0.141146E+02  0.331219E+02 -0.126764E+00***********  -1173.976  -1542.163     342
   343.00000 -0.326131E+01  0.604799E+02 -0.141123E+02  0.331219E+02 -0.126786E+00***********  -1175.720  -1543.616     343
   344.00000 -0.305049E+01  0.604799E+02 -0.141100E+02  0.331219E+02 -0.126807E+00***********  -1177.449  -1545.062     344
   345.00000 -0.300477E+01  0.604799E+02 -0.141078E+02  0.331219E+02 -0.126828E+00***********  -1179.164  -1546.502     345
   346.00000 -0.296413E+01  0.604799E+02 -0.141055E+02  0.331219E+02 -0.126850E+00***********  -1180.867  -1547.937     346
   347.00000 -0.282697E+01  0.604799E+02 -0.141033E+02  0.331219E+02 -0.126871E+00***********  -1182.557  -1549.364     347
   348.00000 -0.271013E+01  0.604799E+02 -0.141011E+02  0.331219E+02 -0.126892E+00***********  -1184.236  -1550.785     348
   349.00000 -0.260345E+01  0.604799E+02 -0.140989E+02  0.331219E+02 -0.126913E+00***********  -1185.932  -1552.201     349
   350.00000 -0.227325E+01  0.604799E+02 -0.140967E+02  0.331219E+02 -0.126934E+00***********  -1187.619  -1553.610     350
   351.00000 -0.220721E+01  0.604799E+02 -0.140945E+02  0.331219E+02 -0.126954E+00***********  -1189.310  -1555.013     351
   352.00000 -0.197861E+01  0.604799E+02 -0.140923E+02  0.331219E+02 -0.126975E+00***********  -1190.991  -1556.705     352
   353.00000 -0.178557E+01  0.604799E+02 -0.140902E+02  0.331219E+02 -0.126996E+00***********  -1192.659  -1558.621     353
   354.00000 -0.157983E+01  0.604799E+02 -0.140880E+02  0.331219E+02 -0.127017E+00***********  -1194.315  -1560.544     354
   355.00000 -0.141473E+01  0.604799E+02 -0.140859E+02  0.331219E+02 -0.127037E+00***********  -1195.958  -1562.464     355
   356.00000 -0.121153E+01  0.604799E+02 -0.140838E+02  0.331219E+02 -0.127058E+00***********  -1197.586  -1564.378     356
   357.00000 -0.113787E+01  0.604799E+02 -0.140817E+02  0.331219E+02 -0.127078E+00***********  -1199.202  -1566.288     357
   358.00000 -0.106167E+01  0.604799E+02 -0.140797E+02  0.331219E+02 -0.127099E+00***********  -1200.804  -1568.194     358
   359.00000 -0.932127E+00  0.604799E+02 -0.140776E+02  0.331219E+02 -0.127119E+00***********  -1202.392  -1570.095     359
   360.00000 -0.767027E+00  0.604799E+02 -0.140756E+02  0.331219E+02 -0.127139E+00***********  -1203.968  -1571.991     360
   361.00000 -0.675587E+00  0.604799E+02 -0.140735E+02  0.331219E+02 -0.127159E+00***********  -1205.538  -1573.883     361
   362.00000 -0.485087E+00  0.604799E+02 -0.140715E+02  0.331219E+02 -0.127180E+00***********  -1207.096  -1575.771     362
   363.00000 -0.406347E+00  0.604799E+02 -0.140695E+02  0.331219E+02 -0.127200E+00***********  -1208.640  -1577.653     363
   364.00000 -0.373327E+00  0.604799E+02 -0.140675E+02  0.331219E+02 -0.127220E+00***********  -1210.172  -1579.531     364
   365.00000 -0.266647E+00  0.604799E+02 -0.140655E+02  0.331219E+02 -0.127240E+00***********  -1211.692  -1581.405     365
   366.00000 -0.139647E+00  0.604799E+02 -0.140635E+02  0.331219E+02 -0.127260E+00***********  -1213.199  -1583.274     366
   367.00000 -0.228068E-01  0.604799E+02 -0.140616E+02  0.331219E+02 -0.127280E+00***********  -1214.696  -1585.139     367
   368.00000  0.178332E-01  0.604799E+02 -0.140596E+02  0.331219E+02 -0.127300E+00***********  -1216.181  -1586.999     368
   369.00000  0.129593E+00  0.604799E+02 -0.140577E+02  0.331219E+02 -0.127320E+00***********  -1217.654  -1588.855     369
   370.00000  0.221033E+00  0.604799E+02 -0.140558E+02  0.331219E+02 -0.127340E+00***********  -1219.118  -1590.707     370
   371.00000  0.373433E+00  0.604799E+02 -0.140539E+02  0.331219E+02 -0.127360E+00***********  -1220.570  -1592.554     371
   372.00000  0.401373E+00  0.604799E+02 -0.140520E+02  0.331219E+02 -0.127379E+00***********  -1222.013  -1594.396     372
   373.00000  0.485193E+00  0.604799E+02 -0.140501E+02  0.331219E+02 -0.127399E+00***********  -1223.461  -1596.234     373
   374.00000  0.675693E+00  0.604799E+02 -0.140482E+02  0.331219E+02 -0.127419E+00***********  -1224.902  -1598.068     374
   375.00000  0.713793E+00  0.604799E+02 -0.140463E+02  0.331219E+02 -0.127438E+00***********  -1226.334  -1599.898     375
   376.00000  0.729033E+00  0.604799E+02 -0.140445E+02  0.331219E+02 -0.127458E+00***********  -1227.756  -1601.723     376
   377.00000  0.734113E+00  0.604799E+02 -0.140426E+02  0.331219E+02 -0.127477E+00***********  -1229.168  -1603.544     377
   378.00000  0.741733E+00  0.604799E+02 -0.140408E+02  0.331219E+02 -0.127497E+00***********  -1230.571  -1605.360     378
   379.00000  0.746813E+00  0.604799E+02 -0.140390E+02  0.331219E+02 -0.127516E+00***********  -1231.965  -1607.172     379
   380.00000  0.767133E+00  0.604799E+02 -0.140372E+02  0.331219E+02 -0.127536E+00***********  -1233.351  -1608.980     380
   381.00000  0.845873E+00  0.604799E+02 -0.140354E+02  0.331219E+02 -0.127555E+00***********  -1234.711  -1610.784     381
   382.00000  0.863653E+00  0.604799E+02 -0.140336E+02  0.331219E+02 -0.127574E+00***********  -1236.049  -1612.583     382
   383.00000  0.880163E+00  0.604799E+02 -0.140318E+02  0.331219E+02 -0.127594E+00***********  -1237.375  -1614.378     383
   384.00000  0.895403E+00  0.604799E+02 -0.140300E+02  0.331219E+02 -0.127613E+00***********  -1238.694  -1616.168     384
   385.00000  0.100970E+01  0.604799E+02 -0.140283E+02  0.331219E+02 -0.127632E+00***********  -1240.009  -1617.954     385
   386.00000  0.113924E+01  0.604799E+02 -0.140265E+02  0.331219E+02 -0.127651E+00***********  -1241.325  -1619.736     386
   387.00000  0.117734E+01  0.604799E+02 -0.140248E+02  0.331219E+02 -0.127670E+00***********  -1242.641  -1621.514     387
   388.00000  0.133228E+01  0.604799E+02 -0.140230E+02  0.331219E+02 -0.127689E+00***********  -1243.956  -1623.287     388
   389.00000  0.147960E+01  0.604799E+02 -0.140213E+02  0.331219E+02 -0.127708E+00***********  -1245.276  -1625.057     389
   390.00000  0.164470E+01  0.604799E+02 -0.140196E+02  0.331219E+02 -0.127727E+00***********  -1246.598  -1626.821     390
   391.00000  0.183774E+01  0.604799E+02 -0.140178E+02  0.331219E+02 -0.127746E+00***********  -1247.916  -1628.582     391
   392.00000  0.204348E+01  0.604799E+02 -0.140161E+02  0.331219E+02 -0.127765E+00***********  -1249.231  -1630.338     392
   393.00000  0.230510E+01  0.604799E+02 -0.140144E+02  0.331219E+02 -0.127783E+00***********  -1250.552  -1632.090     393
   394.00000  0.252862E+01  0.604799E+02 -0.140128E+02  0.331219E+02 -0.127802E+00***********  -1251.872  -1633.838     394
   395.00000  0.277754E+01  0.604799E+02 -0.140111E+02  0.331219E+02 -0.127821E+00***********  -1253.186  -1635.582     395
   396.00000  0.301884E+01  0.604799E+02 -0.140094E+02  0.331219E+02 -0.127840E+00***********  -1254.493  -1637.321     396
   397.00000  0.321442E+01  0.604799E+02 -0.140077E+02  0.331219E+02 -0.127858E+00***********  -1255.791  -1639.057     397
   398.00000  0.329570E+01  0.604799E+02 -0.140061E+02  0.331219E+02 -0.127877E+00***********  -1257.080  -1640.788     398
   399.00000  0.332618E+01  0.604799E+02 -0.140044E+02  0.331219E+02 -0.127895E+00***********  -1258.369  -1642.515     399
   400.00000  0.336428E+01  0.604799E+02 -0.140028E+02  0.331219E+02 -0.127914E+00***********  -1259.648  -1644.238     400
   401.00000  0.341000E+01  0.604799E+02 -0.140011E+02  0.331219E+02 -0.127932E+00***********  -1260.922  -1645.956     401
   402.00000  0.343794E+01  0.604799E+02 -0.139995E+02  0.331219E+02 -0.127950E+00***********  -1262.185  -1647.672     402
   403.00000  0.347096E+01  0.604799E+02 -0.139979E+02  0.331219E+02 -0.127969E+00***********  -1263.437  -1649.383     403
   404.00000  0.350906E+01  0.604799E+02 -0.139963E+02  0.331219E+02 -0.127987E+00***********  -1264.679  -1651.090     404
   405.00000  0.354716E+01  0.604799E+02 -0.139947E+02  0.331219E+02 -0.128005E+00***********  -1265.919  -1652.793     405
   406.00000  0.361574E+01  0.604799E+02 -0.139931E+02  0.331219E+02 -0.128024E+00***********  -1267.146  -1654.491     406
   407.00000  0.369194E+01  0.604799E+02 -0.139915E+02  0.331219E+02 -0.128042E+00***********  -1268.347  -1656.186     407
   408.00000  0.376306E+01  0.604799E+02 -0.139899E+02  0.331219E+02 -0.128060E+00***********  -1269.526  -1657.876     408
   409.00000  0.379862E+01  0.604799E+02 -0.139883E+02  0.331219E+02 -0.128078E+00***********  -1270.685  -1659.562     409
   410.00000  0.383037E+01  0.604799E+02 -0.139868E+02  0.331219E+02 -0.128096E+00***********  -1271.827  -1661.245     410
   411.00000  0.385831E+01  0.604799E+02 -0.139852E+02  0.331219E+02 -0.128114E+00***********  -1272.956  -1662.924     411
   412.00000  0.389133E+01  0.604799E+02 -0.139836E+02  0.331219E+02 -0.128132E+00***********  -1274.073  -1664.598     412
   413.00000  0.398023E+01  0.604799E+02 -0.139821E+02  0.331219E+02 -0.128150E+00***********  -1275.180  -1666.268     413
   414.00000  0.413263E+01  0.604799E+02 -0.139805E+02  0.331219E+02 -0.128168E+00***********  -1276.279  -1667.935     414
   415.00000  0.423423E+01  0.604799E+02 -0.139790E+02  0.331219E+02 -0.128186E+00***********  -1277.372  -1669.598     415
   416.00000  0.440949E+01  0.604799E+02 -0.139774E+02  0.331219E+02 -0.128203E+00***********  -1278.464  -1671.256     416
   417.00000  0.454411E+01  0.604799E+02 -0.139759E+02  0.331219E+02 -0.128221E+00***********  -1279.552  -1672.910     417
   418.00000  0.467111E+01  0.604799E+02 -0.139744E+02  0.331219E+02 -0.128239E+00***********  -1280.635  -1674.561     418
