,date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
29,2025-01-29,0.279901704,-14.53177083,-20.6,-2.69,0
30,2025-01-30,0.231417213,-13.86572917,-20.5,-4.04,0
31,2025-01-31,0.448186303,-4.655625,-14.56,6.33,0
32,2025-02-01,0.557856645,0.724791667,-5.35,5,1.290000697
33,2025-02-02,0.438355671,-3.401770833,-6.37,1.06,1.970001064
34,2025-02-03,0.338741995,-12.1903125,-15.03,-5.18,0
35,2025-02-04,0.345467721,-14.4171875,-16.3,-12.39,2.290001237
36,2025-02-05,0.314299186,-14.77739583,-19.77,-9.07,1.850000999
37,2025-02-06,0.286557885,-12.38989583,-20.64,-4.89,0
38,2025-02-07,0.277711828,-11.4271875,-16.76,-6.56,1.940001048
39,2025-02-08,0.358060096,-11.8065625,-15.07,-8.41,0
40,2025-02-09,0.306085252,-10.74479167,-17.5,-4.97,0.890000481
41,2025-02-10,0.257736501,-16.04541667,-27.64,-10.41,0.540000292
42,2025-02-11,0.19081793,-25.3396875,-33,-18.09,0
43,2025-02-12,0.172058439,-27.59729167,-34.57,-19,0
44,2025-02-13,0.186787354,-24.8328125,-34.03,-15.3,0.100000054
45,2025-02-14,0.326605264,-9.758020833,-15.16,-4.97,4.560002462
46,2025-02-15,0.487711824,-4.373541667,-8.85,-1.65,0
47,2025-02-16,0.412229436,-5.767708333,-7.55,-3.09,3.360001814
48,2025-02-17,0.450402511,-5.450104167,-7.8,-2.23,5.320002873
49,2025-02-18,0.524743717,-7.425625,-10.41,-4.89,4.220002279
50,2025-02-19,0.490019928,-9.86125,-15.4,-5.97,1.920001037
51,2025-02-20,0.637010215,-2.609895833,-8.51,2.43,1.200000648
52,2025-02-21,0.948045264,-0.078958333,-4.54,3.68,0
53,2025-02-22,0.47502239,-3.3275,-4.97,-1.81,0
54,2025-02-23,0.940232424,4.476979167,-3.38,9.45,0
55,2025-02-24,1.30076035,3.7815625,-1.27,8.62,0.190000103
56,2025-02-25,1.226115326,2.423541667,-0.07,5.54,3.250001755
57,2025-02-26,1.259728553,1.494791667,-4.78,6.01,0
58,2025-02-27,1.163130807,-2.433333333,-10,7.85,0
59,2025-02-28,0.948373971,-1.531770833,-8.75,8.09,0
60,2025-03-01,1.18616054,-1.653020833,-9.28,9.53,0
61,2025-03-02,1.132661871,-1.801354167,-10.6,7.89,0
62,2025-03-03,0.548661207,-0.550729167,-5.98,2.92,1.13000061
