 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16.12.    Time:  13:22:26
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.50000E+01  0.00000E+00  0.87255E+00  0.00000E+00 -0.15679E+01  0.50000E+01  0.00000E+00  0.23535E+01  0.00000E+00 -0.17191E+01 -0.10000E+07  0.00000E+00 -0.17272E+02  0.00000E+00  0.00000E+00  0.60277E+02  0.00000E+00  0.23535E+01     53  0.00000E+00      0.000
       2.0000  0.50000E+01  0.00000E+00  0.52178E+00  0.00000E+00 -0.11151E+01  0.10000E+02  0.00000E+00  0.30003E+01  0.00000E+00 -0.30371E+01 -0.10000E+07  0.00000E+00 -0.23865E+02  0.00000E+00  0.00000E+00  0.58312E+02  0.00000E+00  0.30003E+01     92  0.00000E+00      0.000
       3.0000  0.50000E+01  0.00000E+00  0.39060E+00  0.00000E+00 -0.84312E+00  0.15000E+02  0.00000E+00  0.34410E+01  0.00000E+00 -0.40036E+01 -0.10000E+07  0.00000E+00 -0.29943E+02  0.00000E+00  0.00000E+00  0.56905E+02  0.00000E+00  0.34410E+01    113  0.00000E+00      0.000
       4.0000  0.50000E+01  0.00000E+00  0.30567E+00  0.00000E+00 -0.68226E+00  0.20000E+02  0.00000E+00  0.37880E+01  0.00000E+00 -0.47632E+01 -0.10000E+07  0.00000E+00 -0.35272E+02  0.00000E+00  0.00000E+00  0.55798E+02  0.00000E+00  0.37880E+01    148  0.00000E+00      0.000
       5.0000  0.50000E+01  0.00000E+00  0.26346E+00  0.00000E+00 -0.56838E+00  0.25000E+02  0.00000E+00  0.40745E+01  0.00000E+00 -0.53757E+01 -0.10000E+07  0.00000E+00 -0.39842E+02  0.00000E+00  0.00000E+00  0.54899E+02  0.00000E+00  0.40745E+01    161  0.00000E+00      0.000
       6.0000  0.50000E+01  0.00000E+00  0.22943E+00  0.00000E+00 -0.48568E+00  0.30000E+02  0.00000E+00  0.43198E+01  0.00000E+00 -0.58980E+01 -0.10000E+07  0.00000E+00 -0.44141E+02  0.00000E+00  0.00000E+00  0.54132E+02  0.00000E+00  0.43198E+01    172  0.00000E+00      0.000
       7.0000  0.50000E+01  0.00000E+00  0.20499E+00  0.00000E+00 -0.41672E+00  0.35000E+02  0.00000E+00  0.45378E+01  0.00000E+00 -0.63385E+01 -0.10000E+07  0.00000E+00 -0.47879E+02  0.00000E+00  0.00000E+00  0.53473E+02  0.00000E+00  0.45378E+01    176  0.00000E+00      0.000
       8.0000  0.50000E+01  0.00000E+00  0.18848E+00  0.00000E+00 -0.37563E+00  0.40000E+02  0.00000E+00  0.47334E+01  0.00000E+00 -0.67293E+01 -0.10000E+07  0.00000E+00 -0.51440E+02  0.00000E+00  0.00000E+00  0.52887E+02  0.00000E+00  0.47334E+01    181  0.00000E+00      0.000
       9.0000  0.50000E+01  0.00000E+00  0.17225E+00  0.00000E+00 -0.33636E+00  0.45000E+02  0.00000E+00  0.49104E+01  0.00000E+00 -0.70810E+01 -0.10000E+07  0.00000E+00 -0.54833E+02  0.00000E+00  0.00000E+00  0.52358E+02  0.00000E+00  0.49104E+01    187  0.00000E+00      0.000
      10.0000  0.50000E+01  0.00000E+00  0.15945E+00  0.00000E+00 -0.29993E+00  0.50000E+02  0.00000E+00  0.50753E+01  0.00000E+00 -0.73960E+01 -0.10000E+07  0.00000E+00 -0.57978E+02  0.00000E+00  0.00000E+00  0.51878E+02  0.00000E+00  0.50753E+01    195  0.00000E+00      0.000
      11.0000  0.50000E+01  0.00000E+00  0.14651E+00  0.00000E+00 -0.27120E+00  0.55000E+02  0.00000E+00  0.52270E+01  0.00000E+00 -0.76780E+01 -0.10000E+07  0.00000E+00 -0.60849E+02  0.00000E+00  0.00000E+00  0.51444E+02  0.00000E+00  0.52270E+01    203  0.00000E+00      0.000
      12.0000  0.50000E+01  0.00000E+00  0.13788E+00  0.00000E+00 -0.25272E+00  0.60000E+02  0.00000E+00  0.53682E+01  0.00000E+00 -0.79383E+01 -0.10000E+07  0.00000E+00 -0.63670E+02  0.00000E+00  0.00000E+00  0.51043E+02  0.00000E+00  0.53682E+01    209  0.00000E+00      0.000
      13.0000  0.50000E+01  0.00000E+00  0.12957E+00  0.00000E+00 -0.23484E+00  0.65000E+02  0.00000E+00  0.55014E+01  0.00000E+00 -0.81789E+01 -0.10000E+07  0.00000E+00 -0.66394E+02  0.00000E+00  0.00000E+00  0.50669E+02  0.00000E+00  0.55014E+01    212  0.00000E+00      0.000
      14.0000  0.50000E+01  0.00000E+00  0.12300E+00  0.00000E+00 -0.21777E+00  0.70000E+02  0.00000E+00  0.56258E+01  0.00000E+00 -0.84009E+01 -0.10000E+07  0.00000E+00 -0.68995E+02  0.00000E+00  0.00000E+00  0.50323E+02  0.00000E+00  0.56258E+01    214  0.00000E+00      0.000
