Date,NP.LYS1_6
1/28/2025,0.307
1/29/2025,0.307
1/30/2025,0.307
1/31/2025,0.3068125
2/1/2025,0.306
2/2/2025,0.305416667
2/3/2025,0.305
2/4/2025,0.305
2/5/2025,0.305
2/6/2025,0.305
2/7/2025,0.305
2/8/2025,0.305
2/9/2025,0.3045625
2/10/2025,0.304
2/11/2025,0.293866667
2/12/2025,0.289098039
2/13/2025,0.267085714
2/14/2025,0.304
2/15/2025,0.30321875
2/16/2025,0.303
2/17/2025,0.302420139
2/18/2025,0.302
2/19/2025,0.302
2/20/2025,0.302
2/21/2025,0.301805556
2/22/2025,0.301003472
2/23/2025,0.300586806
2/24/2025,NA
2/25/2025,0.299430556
2/26/2025,0.299
2/27/2025,0.299
2/28/2025,0.299
3/1/2025,0.299
3/2/2025,0.299
3/3/2025,0.299
3/4/2025,0.299
3/5/2025,0.299
3/6/2025,0.299409722
3/7/2025,0.3
3/8/2025,0.3
3/9/2025,0.3
3/10/2025,0.3
3/11/2025,0.304833333
3/12/2025,0.324017361
3/13/2025,0.329423611
3/14/2025,0.329069444
3/15/2025,0.327850694
3/16/2025,0.327
3/17/2025,0.327871528
3/18/2025,0.328878472
3/19/2025,0.328767361
3/20/2025,0.328045139
3/21/2025,0.328940972
3/22/2025,0.329
3/23/2025,0.329
3/24/2025,0.32853125
3/25/2025,0.328
3/26/2025,NA
3/27/2025,0.328
3/28/2025,0.328
3/29/2025,0.328
3/30/2025,0.328
3/31/2025,0.328
4/1/2025,0.328
4/2/2025,0.328475694
4/3/2025,0.329166667
4/4/2025,0.330083333
4/5/2025,0.330982639
4/6/2025,0.331
4/7/2025,0.331
4/8/2025,0.331215278
4/9/2025,0.332
4/10/2025,0.332347222
4/11/2025,0.333
4/12/2025,0.333190972
4/13/2025,0.334
4/14/2025,0.334
4/15/2025,0.334
4/16/2025,0.334010417
4/17/2025,0.334805556
4/18/2025,0.335
4/19/2025,0.334823129
4/20/2025,0.334072917
4/21/2025,0.334086806
4/22/2025,0.33415625
4/23/2025,0.334989583
4/24/2025,0.335597222
4/25/2025,0.336
4/26/2025,0.336
4/27/2025,0.336704861
4/28/2025,0.337072917
4/29/2025,0.337996528
4/30/2025,0.338305556
5/1/2025,0.339
5/2/2025,0.339
5/3/2025,0.339
5/4/2025,0.33925
5/5/2025,0.34
5/6/2025,0.34
5/7/2025,0.34
5/8/2025,0.34
5/9/2025,0.34
5/10/2025,0.34
5/11/2025,0.340145833
5/12/2025,0.340996528
5/13/2025,0.341
5/14/2025,0.341065972
5/15/2025,0.341440972
5/16/2025,0.342
5/17/2025,0.342607639
5/18/2025,0.350621528
5/19/2025,0.356559028
5/20/2025,0.355361111
5/21/2025,0.354569444
5/22/2025,0.353621528
5/23/2025,0.352878472
5/24/2025,0.353444444
5/25/2025,0.355
5/26/2025,0.355
5/27/2025,0.355263636
5/28/2025,0.356777778
5/29/2025,0.357604167
5/30/2025,0.358
5/31/2025,0.359569444
6/1/2025,0.36
6/2/2025,0.360003472
6/3/2025,0.36
6/4/2025,0.359784722
6/5/2025,0.363513889
6/6/2025,0.370027778
6/7/2025,0.372694444
6/8/2025,0.370350694
6/9/2025,0.367940972
6/10/2025,0.365670139
6/11/2025,0.366583333
6/12/2025,0.379559028
6/13/2025,0.382
6/14/2025,0.381857639
6/15/2025,0.380847222
6/16/2025,0.381016949
6/17/2025,0.382
6/18/2025,0.381572917
6/19/2025,0.380340278
6/20/2025,0.379989583
6/21/2025,0.38
6/22/2025,0.38
6/23/2025,0.38
6/24/2025,0.379222222
6/25/2025,0.378954861
6/26/2025,0.378034722
6/27/2025,0.378
6/28/2025,0.377763889
6/29/2025,0.377010417
6/30/2025,0.376996528
7/1/2025,0.37609375
7/2/2025,0.376
7/3/2025,0.375996528
7/4/2025,0.375197917
7/5/2025,0.375
7/6/2025,0.374177083
7/7/2025,0.373625
7/8/2025,0.371552083
7/9/2025,0.370197917
7/10/2025,0.369447917
7/11/2025,0.371291667
7/12/2025,0.371579861
7/13/2025,0.388454861
7/14/2025,0.405638889
7/15/2025,0.402811966
7/16/2025,0.400722222
7/17/2025,0.414409722
7/18/2025,0.4159375
7/19/2025,0.413041667
7/20/2025,0.410552083
7/21/2025,0.40884375
7/22/2025,0.413378472
7/23/2025,0.417413194
7/24/2025,0.414861111
7/25/2025,0.413159722
7/26/2025,0.411416667
7/27/2025,0.413861111
7/28/2025,0.423899306
7/29/2025,0.421225694
7/30/2025,0.419277778
7/31/2025,0.418232639
8/1/2025,0.416993056
8/2/2025,0.415520833
8/3/2025,0.414524306
8/4/2025,0.413663194
8/5/2025,0.419590278
8/6/2025,0.420690141
8/7/2025,0.419701389
8/8/2025,0.418725694
8/9/2025,0.4175625
8/10/2025,0.416711806
8/11/2025,0.415638889
8/12/2025,0.414684028
8/13/2025,0.413854167
8/14/2025,0.412319444
8/15/2025,0.410104167
8/16/2025,0.406368056
8/17/2025,0.402798611
8/18/2025,0.401097222
8/19/2025,0.400017361
8/20/2025,0.398743056
8/21/2025,0.398
8/22/2025,0.390024306
8/23/2025,0.395520833
8/24/2025,0.395
8/25/2025,0.395
8/26/2025,0.395709677
8/27/2025,0.408173611
8/28/2025,0.414125
8/29/2025,0.414
8/30/2025,0.412513889
8/31/2025,0.414576389
9/1/2025,0.428475694
9/2/2025,0.424788194
9/3/2025,0.422
9/4/2025,0.419253472
9/5/2025,0.416138889
9/6/2025,0.411732639
9/7/2025,0.4071875
9/8/2025,0.404399306
9/9/2025,0.402965278
9/10/2025,0.401899306
9/11/2025,0.401
9/12/2025,0.400142361
9/13/2025,0.398833333
9/14/2025,0.397645833
9/15/2025,0.396142361
9/16/2025,0.3945625
9/17/2025,0.402684028
9/18/2025,0.417753472
9/19/2025,0.415503472
9/20/2025,0.412819444
9/21/2025,0.410322917
9/22/2025,0.412163194
9/23/2025,0.421594595
9/24/2025,0.419701389
9/25/2025,0.41728125
9/26/2025,0.415291667
9/27/2025,0.413302083
9/28/2025,0.411409722
9/29/2025,0.409951389
9/30/2025,0.408479167
10/1/2025,0.40665625
10/2/2025,0.405375
10/3/2025,0.412256944
10/4/2025,0.416791667
10/5/2025,0.414440972
10/6/2025,0.411059028
10/7/2025,0.408211806
10/8/2025,0.406
10/9/2025,0.403881944
10/10/2025,0.402458333
10/11/2025,0.401319444
10/12/2025,0.40075
10/13/2025,0.399513889
10/14/2025,0.397770833
10/15/2025,0.395826389
10/16/2025,0.394284722
10/17/2025,0.392604167
10/18/2025,0.390645833
10/19/2025,0.388847222
10/20/2025,0.386944444
10/21/2025,0.384944444
10/22/2025,0.382618056
10/23/2025,0.381034091
