Date,Depth
5/16/2023,0
6/13/2023,12.9794
6/30/2023,16.9926
7/11/2023,25.146
7/28/2023,23.1394
8/8/2023,24.6888
8/26/2023,25
5/6/2024,0
5/24/2024,8.636
6/5/2024,16.51
6/20/2024,20.32
7/2/2024,26.67
7/16/2024,33.02
7/31/2024,33.02
8/16/2024,33.02
8/28/2024,33.02
